covidtrialID,measurementOMOPID
NCT04350450,4081164
NCT04447235,913915
NCT04447235,43303
NCT04447235,4308014
NCT04447235,45889912
NCT04447235,4148615
NCT04447235,4267147
NCT04447235,2212296
NCT04447235,45766326
NCT04447235,4230543
NCT04447235,4189605
NCT04447235,19052489
NCT04447235,414638
NCT04335630,4161294
NCT04353596,4326744
NCT04353596,4152194
NCT04406688,4129644
NCT04412473,197253
NCT04412473,4120215
NCT04422418,4239408
NCT04443673,4120014
NCT04433078,40479411
NCT04445935,37311061
NCT04445935,4322628
NCT04402905,4120014
NCT04402905,4122259
NCT04442048,37311061
NCT04442048,4245997
NCT04442048,4308014
NCT04418375,4022057
NCT04423315,37310285
NCT04423315,35804595
NCT04425213,37111521
NCT04355702,4215125
NCT04461925,4313591
NCT04461925,4310328
NCT04461925,4353936
NCT04410107,4313591
NCT04410107,4096101
NCT04445389,4032479
NCT04445389,4245997
NCT04378582,45878402
NCT04383587,4160457
NCT04460183,4096101
NCT04460183,4055285
NCT04467918,40484652
NCT04467918,4282625
NCT04467918,3561601
NCT04367740,4064386
NCT04437706,409491
NCT04437706,37311061
NCT04395794,40218805
NCT04386460,37111521
NCT04378257,40483769
NCT04363385,37044592
NCT04458519,45771331
NCT04447131,1112807
NCT04393402,4120014
NCT04393402,4233883
NCT04406324,40484652
NCT04406324,37111521
NCT04406324,45889912
NCT04363099,4120014
NCT04444674,4094448
NCT04444674,4215562
NCT04471636,40758535
NCT04471636,36310793
NCT04366830,4233883
NCT04366830,42035945
NCT04366830,4353713
NCT04366830,37398482
NCT04366830,3008138
NCT04366830,3198682
NCT04366830,2212296
NCT04366830,4013964
NCT04456088,4310328
NCT04412746,4120014
NCT04412746,4308509
NCT04326387,37311061
NCT04401436,4160001
NCT04328129,4120014
NCT04439006,706284
NCT04439006,4224504
NCT04439006,2212296
NCT04439006,45766326
NCT04439006,4230543
NCT04439006,42050095
NCT04439006,4041531
NCT04439006,4094657
NCT04439006,4189605
NCT04439006,4148615
NCT04439006,4039428
NCT04439006,37399163
NCT04439006,4055285
NCT04360278,37111521
NCT04360278,4181663
NCT04360278,44096169
NCT04360278,4152194
NCT04360278,415479
NCT04360278,4239408
NCT04360278,757679
NCT04360278,403485
NCT04360278,37311061
NCT04360278,4156221
NCT04341207,37393262
NCT04332016,703439
NCT04423991,37311061
NCT04432051,37311061
NCT04470557,4120014
NCT04452474,4096101
NCT04452474,4313591
NCT04452474,4193843
NCT04452474,4233883
NCT04452474,45770406
NCT04290871,4233883
