covidtrialID,interventionID
NCT04527198,intervention_2639
NCT04527198,intervention_2640
NCT04365257,intervention_385
NCT04361318,intervention_388
NCT04466540,intervention_0
NCT04350671,intervention_43
NCT04350671,intervention_36
NCT04350671,intervention_0
NCT04355936,intervention_400
NCT04456153,intervention_386
NCT04456153,intervention_387
NCT04348656,intervention_2
NCT04482023,intervention_389
NCT04350684,intervention_390
NCT04350684,intervention_36
NCT04350684,intervention_0
NCT04350684,intervention_392
NCT04399356,intervention_217
NCT04399356,intervention_1426
NCT04350073,intervention_394
NCT04350073,intervention_395
NCT04350073,intervention_396
NCT04362943,intervention_397
NCT04354714,intervention_16
NCT04354714,intervention_107
NCT04407494,intervention_398
NCT04376853,intervention_399
NCT04416048,intervention_62
NCT04435184,intervention_401
NCT04435184,intervention_126
NCT04441385,intervention_402
NCT04441385,intervention_127
NCT04328285,intervention_0
NCT04328285,intervention_403
NCT04328285,intervention_404
NCT04328285,intervention_405
NCT04366739,intervention_411
NCT04366739,intervention_128
NCT04389359,intervention_0
NCT04405310,intervention_417
NCT04405310,intervention_418
NCT04475991,intervention_2641
NCT04475991,intervention_2642
NCT04475991,intervention_2643
NCT04475991,intervention_2644
NCT04315298,intervention_30
NCT04404062,intervention_412
NCT04404062,intervention_413
NCT04516746,intervention_268
NCT04352933,intervention_0
NCT04352933,intervention_0
NCT04352933,intervention_415
NCT04425252,intervention_416
NCT04275947,intervention_414
NCT04385940,intervention_31
NCT04394442,intervention_0
NCT04477889,intervention_420
NCT04377620,intervention_16
NCT04501783,intervention_7
NCT04501783,intervention_1068
NCT04501783,intervention_2645
NCT04535869,intervention_2646
NCT04337996,intervention_421
NCT04473053,intervention_129
NCT04473053,intervention_422
NCT04330638,intervention_32
NCT04330638,intervention_130
NCT04330638,intervention_5
NCT04422509,intervention_423
NCT04422509,intervention_424
NCT04341168,intervention_436
NCT04359797,intervention_425
NCT04513470,intervention_2647
NCT04363372,intervention_428
NCT04389567,intervention_426
NCT04361214,intervention_427
NCT04483635,intervention_19
NCT04413045,intervention_429
NCT04369742,intervention_0
NCT04369742,intervention_430
NCT04367896,intervention_440
NCT04343690,intervention_432
NCT04487964,intervention_431
NCT04387214,intervention_12
NCT04418518,intervention_2
NCT04465604,intervention_433
NCT04537338,intervention_2648
NCT04485429,intervention_14
NCT04485429,intervention_63
NCT04408066,intervention_434
NCT04408066,intervention_435
NCT04498273,intervention_2649
NCT04498273,intervention_2650
NCT04498273,intervention_194
NCT04347850,intervention_25
NCT04452474,intervention_131
NCT04369300,intervention_437
NCT04326920,intervention_65
NCT04326920,intervention_132
NCT04380519,intervention_441
NCT04380519,intervention_131
NCT04492865,intervention_2651
NCT04493294,intervention_2652
NCT04332081,intervention_438
NCT04377477,intervention_442
NCT04304313,intervention_445
NCT04365699,intervention_443
NCT04477642,intervention_444
NCT04400890,intervention_2653
NCT04400890,intervention_31
NCT04395664,intervention_446
NCT04363034,intervention_2
NCT04405908,intervention_447
NCT04405908,intervention_448
NCT04405908,intervention_449
NCT04436484,intervention_450
NCT04365725,intervention_9
NCT04344587,intervention_451
NCT04441996,intervention_453
NCT04353284,intervention_37
NCT04337541,intervention_454
NCT04389710,intervention_24
NCT04528641,intervention_2654
NCT04351243,intervention_455
NCT04400812,intervention_6
NCT04380402,intervention_456
NCT04333355,intervention_2
NCT04407533,intervention_457
NCT04462757,intervention_458
NCT04348422,intervention_66
NCT04348422,intervention_459
NCT04348422,intervention_460
NCT04359277,intervention_461
NCT04359277,intervention_462
NCT04354805,intervention_463
NCT04476927,intervention_464
NCT04351763,intervention_465
NCT04351763,intervention_466
NCT04340544,intervention_0
NCT04415151,intervention_60
NCT04338347,intervention_467
NCT04384900,intervention_468
NCT04356690,intervention_469
NCT04468087,intervention_673
NCT04468087,intervention_676
NCT04369807,intervention_470
NCT04509999,intervention_608
NCT04375124,intervention_471
NCT04458298,intervention_475
NCT04412785,intervention_133
NCT04377789,intervention_473
NCT04377789,intervention_474
NCT04459819,intervention_472
NCT04443725,intervention_476
NCT04443725,intervention_477
NCT04383002,intervention_44
NCT04453891,intervention_479
NCT04398303,intervention_483
NCT04398303,intervention_484
NCT04361981,intervention_480
NCT04424797,intervention_67
NCT04424797,intervention_481
NCT04451889,intervention_482
NCT04366050,intervention_485
NCT04366050,intervention_68
NCT04446377,intervention_490
NCT04444271,intervention_486
NCT04370223,intervention_498
NCT04341675,intervention_134
NCT04394416,intervention_135
NCT04394416,intervention_4
NCT04397757,intervention_17
NCT04329923,intervention_487
NCT04329923,intervention_488
NCT04329923,intervention_489
NCT04329923,intervention_4
NCT04361643,intervention_491
NCT04455243,intervention_492
NCT04472013,intervention_505
NCT04472013,intervention_506
NCT04472013,intervention_507
NCT04472013,intervention_508
NCT04463602,intervention_493
NCT04493307,intervention_2657
NCT04333628,intervention_15
NCT04541979,intervention_2658
NCT04541979,intervention_2659
NCT04429763,intervention_494
NCT04365738,intervention_495
NCT04372628,intervention_496
NCT04427865,intervention_497
NCT04514627,intervention_2660
NCT04421027,intervention_21
NCT04376879,intervention_500
NCT04484545,intervention_499
NCT04361500,intervention_501
NCT04304053,intervention_502
NCT04304053,intervention_503
NCT04355143,intervention_69
NCT04355143,intervention_504
NCT04480424,intervention_509
NCT04480424,intervention_120
NCT04362085,intervention_70
NCT04372004,intervention_510
NCT04351620,intervention_0
NCT04433026,intervention_511
NCT04319315,intervention_12
NCT04363216,intervention_71
NCT04412772,intervention_5
NCT04552951,intervention_1333
NCT04424849,intervention_136
NCT04334382,intervention_0
NCT04334382,intervention_1
NCT04438057,intervention_512
NCT04374903,intervention_523
NCT04367662,intervention_137
NCT04473118,intervention_12
NCT04463420,intervention_513
NCT04463420,intervention_33
NCT04354597,intervention_524
NCT04410159,intervention_38
NCT04410159,intervention_514
NCT04410159,intervention_515
NCT04393311,intervention_517
NCT04500132,intervention_2661
NCT04500132,intervention_2662
NCT04368013,intervention_520
NCT04442191,intervention_2
NCT04392414,intervention_518
NCT04392414,intervention_519
NCT04358211,intervention_521
NCT04362189,intervention_522
NCT04391127,intervention_0
NCT04391127,intervention_8
NCT04335136,intervention_525
NCT04335136,intervention_526
NCT04389645,intervention_527
NCT04492254,intervention_22
NCT04331366,intervention_529
NCT04457726,intervention_528
NCT04358549,intervention_590
NCT04358549,intervention_11
NCT04372368,intervention_17
NCT04330690,intervention_13
NCT04330690,intervention_0
NCT04330690,intervention_9
NCT04370236,intervention_530
NCT04549337,intervention_2663
NCT04456452,intervention_531
NCT04359511,intervention_72
NCT04359511,intervention_48
NCT04396106,intervention_532
NCT04331795,intervention_5
NCT04333225,intervention_0
NCT04351724,intervention_73
NCT04351724,intervention_13
NCT04351724,intervention_533
NCT04351724,intervention_62
NCT04351724,intervention_534
NCT04351724,intervention_535
NCT04351724,intervention_536
NCT04351724,intervention_46
NCT04351724,intervention_537
NCT04429867,intervention_0
NCT04344444,intervention_0
NCT04344444,intervention_1
NCT04494724,intervention_46
NCT04405843,intervention_138
NCT04425772,intervention_538
NCT04425772,intervention_539
NCT04359264,intervention_540
NCT04377659,intervention_5
NCT04344080,intervention_541
