covidtrialID,procedureOMOPID
NCT04476953,19025274
NCT04476953,45878735
NCT04476953,45878735
NCT03331445,36308581
NCT03331445,4027509
NCT04482621,4273629
NCT04278404,706637
NCT04278404,36310842
NCT04278404,45876308
NCT04344665,45878057
NCT04344665,45878057
NCT04439825,42538189
NCT04480593,4300185
NCT04480593,4242843
NCT04483908,4273629
NCT04406194,4256632
NCT04475562,36308581
NCT04400682,4256632
NCT04456933,706637
NCT04456933,4166767
NCT04467086,19006871
NCT04479358,19025274
NCT04479358,19006871
NCT04479358,4028623
NCT04479358,4208341
NCT04476979,4144375
NCT04476680,45875989
NCT04476680,4273629
NCT04476680,4029715
NCT04476680,4029715
NCT04476680,4092441
NCT04476680,45876308
NCT04473053,706637
NCT04480333,4144375
NCT04480333,4027509
NCT04482387,4108471
NCT04316949,19025274
NCT04447404,4324124
NCT04473131,4273629
NCT04473131,4028623
NCT04475107,45768197
NCT04475107,19025274
NCT04475107,19025274
NCT04475107,4052536
NCT04475107,706637
NCT04475107,4300185
NCT04475107,4027509
NCT04475107,42538189
NCT04475107,45766058
NCT04475107,4330583
NCT04475107,4117038
NCT04483960,4177224
NCT04483960,19025274
NCT04483960,4165535
NCT04483960,4182536
NCT04481685,4202832
NCT04481685,45768197
NCT04487574,44803204
NCT04487574,407374
NCT04487574,4300185
NCT04487574,4314777
NCT04487574,4144375
NCT04487574,19025274
NCT04487574,4052536
NCT04487886,19025274
NCT04487886,4202832
NCT04487886,4019433
NCT04487886,4311405
NCT04487886,4127886
NCT04487886,429799
NCT04487886,40973
NCT04480424,35622675
NCT04475991,4300185
NCT04476589,2616731
NCT04476589,4338837
NCT04476589,4300037
NCT04476589,430094
NCT04476589,36717612
NCT04476589,46270117
NCT04476589,4293435
NCT04476589,41993163
NCT04476589,45758369
NCT04487444,19025274
NCT04487444,4141762
NCT04487444,4028623
NCT04482699,412012
NCT04482699,706637
NCT04482699,4027509
NCT04482699,42538189
NCT04482699,4300037
NCT04482699,4117038
NCT04482699,4330583
NCT04482699,4327748
NCT04482699,4208341
NCT04482699,35622675
NCT04487769,4052536
NCT04473300,45763727
NCT04477993,19025274
NCT04489446,19025274
NCT04473690,706637
NCT04473690,4144375
NCT04473690,4144375
NCT04473690,40973
NCT04473690,4027509
NCT04473690,4127886
NCT04473690,4117038
NCT04485130,45772372
NCT04485130,4273629
NCT04441047,4314777
NCT04441047,45875989
NCT04441047,42538189
NCT04441047,4313306
NCT04441047,4240345
NCT04441047,851
NCT04479540,4299523
NCT04479540,42538189
NCT04482647,21499495
NCT04407000,4256632
NCT04474236,4180938
NCT04475302,4300185
NCT04473157,4127485
NCT04395508,42538189
NCT04395508,2109368
NCT04395508,42537894
NCT04486001,4202832
NCT04486001,45768197
NCT04486001,4202832
NCT04473170,45875989
NCT04473170,4314777
NCT04290858,4168133
NCT04488575,19025274
NCT04488575,4165535
NCT04488575,19025274
NCT04488575,706386
NCT04444986,4256632
NCT04481620,42538189
NCT04481620,407374
NCT03891420,4144375
NCT03891420,4220084
NCT03891420,35625639
NCT03891420,4027509
NCT03891420,4211641
NCT03891420,4163872
NCT03891420,4300757
NCT03891420,4300757
NCT03891420,37018292
NCT03891420,412012
NCT03891420,4324124
NCT03891420,19025274
NCT03891420,4052536
NCT04401033,36310597
NCT04401033,4314001
NCT04482712,4180938
NCT04477954,19025274
NCT04346979,36310218
NCT04480138,706637
NCT03376854,9489
NCT03376854,36309413
NCT03376854,4300185
NCT04478071,19025274
NCT04478071,4208341
NCT04476719,4256632
NCT04475068,45763727
NCT04475068,4327582
NCT04475068,19025274
