covidtrialID,sponsorID
NCT04425629,sponsor_158
NCT04321421,sponsor_159
NCT04321421,sponsor_160
NCT04527133,sponsor_161
NCT04432298,sponsor_162
NCT04445233,sponsor_163
NCT04445233,sponsor_164
NCT04329611,sponsor_165
NCT04329611,sponsor_166
NCT04329611,sponsor_167
NCT04329611,sponsor_168
NCT04329611,sponsor_169
NCT04329611,sponsor_170
NCT04329611,sponsor_171
NCT04387929,sponsor_172
NCT04325633,sponsor_2
NCT04415086,sponsor_173
NCT04415086,sponsor_174
NCT04415086,sponsor_175
NCT04415086,sponsor_176
NCT04415086,sponsor_177
NCT04415086,sponsor_178
NCT04306497,sponsor_179
NCT04321993,sponsor_180
NCT04321993,sponsor_181
NCT04321993,sponsor_182
NCT04351659,sponsor_183
NCT04351659,sponsor_184
NCT04351659,sponsor_185
NCT04550338,sponsor_186
NCT04544605,sponsor_187
NCT04544605,sponsor_188
NCT04544605,sponsor_189
NCT04323332,sponsor_190
NCT04382066,sponsor_191
NCT04382066,sponsor_192
NCT04405102,sponsor_193
NCT04405102,sponsor_194
NCT04405102,sponsor_195
NCT04352348,sponsor_2
NCT04390178,sponsor_196
NCT04390178,sponsor_197
NCT04390178,sponsor_198
NCT04390178,sponsor_199
NCT04528368,sponsor_200
NCT04528368,sponsor_201
NCT04546841,sponsor_202
NCT04465695,sponsor_188
NCT04339660,sponsor_203
NCT04339660,sponsor_204
NCT04339660,sponsor_205
NCT04339660,sponsor_206
NCT04454372,sponsor_207
NCT04375202,sponsor_208
NCT04444310,sponsor_106
NCT04527081,sponsor_209
NCT04352582,sponsor_15
NCT04352582,sponsor_210
NCT04352582,sponsor_211
NCT04382092,sponsor_212
NCT04382092,sponsor_213
NCT04463472,sponsor_209
NCT04463472,sponsor_214
NCT04412252,sponsor_215
NCT04354857,sponsor_216
NCT04287686,sponsor_217
NCT04375046,sponsor_218
NCT04464408,sponsor_219
NCT04464408,sponsor_220
NCT04364022,sponsor_221
NCT04364022,sponsor_15
NCT04361916,sponsor_222
NCT04385108,sponsor_223
NCT04344015,sponsor_224
NCT04355338,sponsor_225
NCT04344145,sponsor_226
NCT04370808,sponsor_227
NCT04370808,sponsor_228
NCT04370808,sponsor_229
NCT04370808,sponsor_230
NCT04370808,sponsor_231
NCT04370808,sponsor_60
NCT04370808,sponsor_54
NCT04370808,sponsor_232
NCT04370808,sponsor_233
NCT04354389,sponsor_112
NCT04381052,sponsor_105
NCT04381052,sponsor_234
NCT04381052,sponsor_235
NCT04317092,sponsor_236
NCT04480632,sponsor_237
NCT04333420,sponsor_238
NCT04324996,sponsor_239
NCT04324996,sponsor_240
NCT04433013,sponsor_241
NCT04433013,sponsor_242
NCT04391712,sponsor_243
NCT04495101,sponsor_244
NCT04495101,sponsor_245
NCT04426695,sponsor_158
NCT04385043,sponsor_246
NCT04385043,sponsor_247
NCT04385043,sponsor_248
NCT04385043,sponsor_249
NCT04385043,sponsor_250
NCT04443270,sponsor_251
NCT04397822,sponsor_223
NCT04384497,sponsor_196
NCT04384497,sponsor_197
NCT04384497,sponsor_199
NCT04384497,sponsor_198
NCT04542694,sponsor_252
NCT04432324,sponsor_244
NCT04432324,sponsor_245
NCT04348071,sponsor_253
NCT04340232,sponsor_253
NCT04547140,sponsor_245
NCT04359615,sponsor_254
NCT04532931,sponsor_255
NCT04532931,sponsor_256
NCT04511819,sponsor_257
NCT04359316,sponsor_254
NCT04536298,sponsor_258
NCT04536298,sponsor_259
NCT04536298,sponsor_67
NCT04536298,sponsor_260
NCT04536298,sponsor_261
NCT04536298,sponsor_262
NCT04536298,sponsor_263
NCT04536298,sponsor_264
NCT04536298,sponsor_198
NCT04536298,sponsor_265
NCT04428008,sponsor_266
NCT04428008,sponsor_267
NCT04428008,sponsor_268
NCT04547127,sponsor_244
NCT04547127,sponsor_245
NCT04364828,sponsor_202
NCT04343768,sponsor_254
NCT04497948,sponsor_39
NCT04497948,sponsor_269
NCT04492475,sponsor_270
NCT04459520,sponsor_271
NCT04355793,sponsor_272
NCT04364815,sponsor_273
NCT04358536,sponsor_274
NCT04504032,sponsor_275
NCT04329832,sponsor_276
NCT04329832,sponsor_277
NCT04524507,sponsor_163
NCT04358835,sponsor_3
NCT04388410,sponsor_278
NCT04388410,sponsor_108
NCT04388410,sponsor_279
NCT04388410,sponsor_280
NCT04388410,sponsor_281
NCT04388410,sponsor_282
NCT04388410,sponsor_283
NCT04382781,sponsor_284
NCT04382781,sponsor_285
NCT04401579,sponsor_270
NCT04252118,sponsor_286
NCT04252118,sponsor_287
NCT04252118,sponsor_288
NCT04252118,sponsor_289
NCT04252118,sponsor_290
NCT04252118,sponsor_88
NCT04252118,sponsor_291
NCT04280705,sponsor_270
NCT04362865,sponsor_292
NCT04362865,sponsor_97
NCT04497298,sponsor_293
NCT04497298,sponsor_294
NCT04497298,sponsor_295
NCT04348396,sponsor_296
NCT04449588,sponsor_297
NCT04449588,sponsor_298
NCT04411147,sponsor_270
NCT04411147,sponsor_97
NCT04406324,sponsor_154
NCT04534595,sponsor_299
NCT04475107,sponsor_255
NCT04449731,sponsor_300
NCT04449731,sponsor_301
NCT04449731,sponsor_302
NCT04449731,sponsor_303
NCT04449731,sponsor_304
NCT04449731,sponsor_305
NCT04449731,sponsor_306
NCT04449731,sponsor_307
NCT04449731,sponsor_308
NCT04449731,sponsor_309
NCT04449731,sponsor_310
NCT04449731,sponsor_311
NCT04449731,sponsor_312
NCT04449731,sponsor_313
NCT04449731,sponsor_314
NCT04449731,sponsor_43
NCT04449731,sponsor_315
NCT04410354,sponsor_316
NCT04330586,sponsor_317
NCT04361942,sponsor_318
NCT04361942,sponsor_319
NCT04361942,sponsor_320
NCT04361942,sponsor_321
NCT04361942,sponsor_322
NCT04361942,sponsor_323
NCT04444115,sponsor_324
NCT04444115,sponsor_325
NCT04331171,sponsor_326
NCT04331171,sponsor_293
NCT04331171,sponsor_2
NCT04331171,sponsor_327
NCT04331171,sponsor_328
NCT04397328,sponsor_329
NCT04466670,sponsor_173
NCT04380688,sponsor_39
NCT04380688,sponsor_269
NCT04346199,sponsor_39
NCT04346199,sponsor_269
NCT04521309,sponsor_330
NCT04521309,sponsor_331
NCT04390594,sponsor_332
NCT04390594,sponsor_333
NCT04390594,sponsor_334
NCT04390594,sponsor_335
NCT04390594,sponsor_336
NCT04390594,sponsor_337
NCT04367792,sponsor_338
NCT04367792,sponsor_339
NCT04367792,sponsor_340
NCT04374695,sponsor_341
NCT04374695,sponsor_342
NCT04374695,sponsor_343
NCT04374695,sponsor_344
NCT04374695,sponsor_345
NCT04374695,sponsor_346
NCT04374695,sponsor_347
NCT04374695,sponsor_348
NCT04374695,sponsor_349
NCT04374695,sponsor_350
NCT04374695,sponsor_351
NCT04374695,sponsor_352
NCT04374695,sponsor_353
NCT04374695,sponsor_354
NCT04374695,sponsor_355
NCT04474067,sponsor_356
NCT04474067,sponsor_357
NCT04474067,sponsor_358
NCT04418505,sponsor_359
NCT04359953,sponsor_360
NCT04527198,sponsor_2
NCT04365257,sponsor_3
NCT04365257,sponsor_361
NCT04361318,sponsor_9
NCT04481620,sponsor_362
NCT04481620,sponsor_363
NCT04466540,sponsor_364
NCT04466540,sponsor_365
NCT04466540,sponsor_201
NCT04466540,sponsor_178
NCT04466540,sponsor_177
NCT04466540,sponsor_366
NCT04466540,sponsor_367
NCT04350671,sponsor_254
NCT04355936,sponsor_368
NCT04355936,sponsor_369
NCT04355936,sponsor_370
NCT04456153,sponsor_371
NCT04348656,sponsor_372
NCT04348656,sponsor_373
NCT04348656,sponsor_374
NCT04348656,sponsor_375
NCT04348656,sponsor_376
NCT04348656,sponsor_377
NCT04348656,sponsor_378
NCT04348656,sponsor_379
NCT04482023,sponsor_380
NCT04350684,sponsor_254
NCT04399356,sponsor_5
NCT04350073,sponsor_381
NCT04362943,sponsor_382
NCT04354714,sponsor_0
NCT04354714,sponsor_272
NCT04407494,sponsor_383
NCT04376853,sponsor_384
NCT04376853,sponsor_385
NCT04376853,sponsor_386
NCT04376853,sponsor_387
NCT04381884,sponsor_368
NCT04381884,sponsor_388
NCT04381884,sponsor_389
NCT04381884,sponsor_390
NCT04381884,sponsor_391
NCT04416048,sponsor_392
NCT04416048,sponsor_393
NCT04416048,sponsor_394
NCT04435184,sponsor_3
NCT04435184,sponsor_395
NCT04435184,sponsor_396
NCT04435184,sponsor_258
NCT04394884,sponsor_270
NCT04394884,sponsor_97
NCT04441385,sponsor_397
NCT04441385,sponsor_398
NCT04441385,sponsor_399
NCT04328285,sponsor_400
NCT04328285,sponsor_293
NCT04525443,sponsor_401
NCT04525443,sponsor_402
NCT04366739,sponsor_403
NCT04366739,sponsor_404
NCT04389359,sponsor_405
NCT04389359,sponsor_406
NCT04379466,sponsor_2
NCT04405310,sponsor_407
NCT04405310,sponsor_408
NCT04405310,sponsor_409
NCT04405310,sponsor_279
NCT04475991,sponsor_410
NCT04475991,sponsor_411
NCT04475991,sponsor_278
NCT04475991,sponsor_412
NCT04315298,sponsor_158
NCT04315298,sponsor_413
NCT04404062,sponsor_414
NCT04516746,sponsor_39
NCT04516746,sponsor_40
NCT04352933,sponsor_405
NCT04425252,sponsor_415
NCT04452942,sponsor_416
NCT04275947,sponsor_417
NCT04275947,sponsor_418
NCT04416256,sponsor_419
NCT04416256,sponsor_420
NCT04416256,sponsor_421
NCT04416256,sponsor_422
NCT04416256,sponsor_423
NCT04416256,sponsor_424
NCT04416256,sponsor_425
NCT04416256,sponsor_426
NCT04416256,sponsor_427
NCT04416256,sponsor_428
NCT04416256,sponsor_429
NCT04416256,sponsor_430
NCT04416256,sponsor_431
NCT04416256,sponsor_432
NCT04416256,sponsor_433
NCT04416256,sponsor_434
NCT04416256,sponsor_435
NCT04416256,sponsor_436
NCT04416256,sponsor_437
NCT04385940,sponsor_167
NCT04394442,sponsor_438
NCT04394442,sponsor_439
NCT04477889,sponsor_440
NCT04377620,sponsor_272
NCT04501783,sponsor_441
NCT04535869,sponsor_442
NCT04337996,sponsor_443
NCT04473053,sponsor_444
NCT04473053,sponsor_445
NCT04473053,sponsor_446
NCT04330638,sponsor_447
NCT04330638,sponsor_448
NCT04422509,sponsor_449
NCT04422509,sponsor_263
NCT04341168,sponsor_450
NCT04341168,sponsor_451
NCT04341168,sponsor_452
NCT04341168,sponsor_453
NCT04359797,sponsor_454
NCT04513470,sponsor_356
NCT04363372,sponsor_455
NCT04389567,sponsor_113
NCT04389567,sponsor_456
NCT04361214,sponsor_101
NCT04483635,sponsor_457
NCT04483635,sponsor_458
NCT04483635,sponsor_459
NCT04413045,sponsor_106
NCT04337762,sponsor_460
NCT04369742,sponsor_234
NCT04369742,sponsor_461
NCT04368234,sponsor_381
NCT04348942,sponsor_462
NCT04367896,sponsor_136
NCT04343690,sponsor_381
NCT04487964,sponsor_463
NCT04387214,sponsor_109
NCT04418518,sponsor_78
NCT04418518,sponsor_372
NCT04465604,sponsor_464
NCT04537338,sponsor_465
NCT04537338,sponsor_466
NCT04537338,sponsor_467
NCT04537338,sponsor_468
NCT04537338,sponsor_469
NCT04537338,sponsor_470
NCT04485429,sponsor_200
NCT04408066,sponsor_471
NCT04498273,sponsor_472
NCT04498273,sponsor_473
NCT04498273,sponsor_474
NCT04347850,sponsor_383
NCT04452474,sponsor_441
NCT04452474,sponsor_475
NCT04452474,sponsor_41
NCT04369300,sponsor_476
NCT04326920,sponsor_447
NCT04326920,sponsor_477
NCT04380519,sponsor_478
NCT04380519,sponsor_479
NCT04380519,sponsor_480
NCT04380519,sponsor_441
NCT04492865,sponsor_106
NCT04493294,sponsor_481
NCT04493294,sponsor_482
NCT04332081,sponsor_234
NCT04377477,sponsor_483
NCT04304313,sponsor_80
NCT04365699,sponsor_234
NCT04477642,sponsor_484
NCT04477642,sponsor_485
NCT04477642,sponsor_195
NCT04477642,sponsor_258
NCT04400890,sponsor_486
NCT04400890,sponsor_487
NCT04422379,sponsor_476
NCT04395664,sponsor_488
NCT04363034,sponsor_142
NCT04405908,sponsor_489
NCT04436484,sponsor_38
NCT04492943,sponsor_66
NCT04382755,sponsor_447
NCT04382755,sponsor_490
NCT04365725,sponsor_2
NCT04344587,sponsor_491
NCT04441996,sponsor_492
NCT04353284,sponsor_71
NCT04337541,sponsor_493
NCT04337541,sponsor_494
NCT04337541,sponsor_495
NCT04337541,sponsor_496
NCT04337541,sponsor_497
NCT04389710,sponsor_224
NCT04527497,sponsor_498
NCT04528641,sponsor_499
NCT04528641,sponsor_500
NCT04351243,sponsor_501
NCT04351243,sponsor_502
NCT04351646,sponsor_503
NCT04400812,sponsor_439
NCT04379440,sponsor_504
NCT04379440,sponsor_505
NCT04379440,sponsor_506
NCT04379440,sponsor_507
NCT04379440,sponsor_508
NCT04380402,sponsor_509
NCT04333355,sponsor_108
NCT04333355,sponsor_510
NCT04377035,sponsor_511
NCT04407533,sponsor_512
NCT04462757,sponsor_513
NCT04348422,sponsor_514
NCT04359277,sponsor_234
NCT04354805,sponsor_62
NCT04354805,sponsor_515
NCT04476927,sponsor_516
NCT04351763,sponsor_517
NCT04340544,sponsor_202
NCT04340544,sponsor_518
NCT04340544,sponsor_519
NCT04340544,sponsor_520
NCT04415151,sponsor_71
NCT04338347,sponsor_521
NCT04384900,sponsor_494
NCT04356690,sponsor_522
NCT04468087,sponsor_201
NCT04369807,sponsor_523
NCT04509999,sponsor_524
NCT04375124,sponsor_525
NCT04458298,sponsor_526
NCT04381351,sponsor_527
NCT04412785,sponsor_528
NCT04377789,sponsor_525
NCT04459819,sponsor_529
NCT04443725,sponsor_62
NCT04383002,sponsor_530
NCT04453891,sponsor_531
NCT04453891,sponsor_532
NCT04376398,sponsor_212
NCT04376398,sponsor_533
NCT04398303,sponsor_534
NCT04521088,sponsor_498
NCT04327674,sponsor_535
NCT04361981,sponsor_536
NCT04424797,sponsor_537
NCT04451889,sponsor_538
NCT04366050,sponsor_539
NCT04366050,sponsor_215
NCT04368065,sponsor_40
NCT04435041,sponsor_445
NCT04435041,sponsor_540
NCT04435041,sponsor_541
NCT04446377,sponsor_542
NCT04446377,sponsor_71
NCT04444271,sponsor_543
NCT04444271,sponsor_544
NCT04370223,sponsor_545
NCT04370223,sponsor_546
NCT04341675,sponsor_547
NCT04394416,sponsor_548
NCT04397757,sponsor_528
NCT04329923,sponsor_549
NCT04329923,sponsor_528
NCT04361643,sponsor_550
NCT04455243,sponsor_551
NCT04455243,sponsor_141
NCT04472013,sponsor_552
NCT04472013,sponsor_553
NCT04463602,sponsor_554
NCT04318418,sponsor_555
NCT04493307,sponsor_556
NCT04493307,sponsor_557
NCT04493307,sponsor_558
NCT04493307,sponsor_559
NCT04493307,sponsor_560
NCT04333628,sponsor_561
NCT04333628,sponsor_562
NCT04541979,sponsor_563
NCT04285801,sponsor_189
NCT04429763,sponsor_564
NCT04429763,sponsor_565
NCT04429763,sponsor_566
NCT04429763,sponsor_567
NCT04365738,sponsor_568
NCT04372628,sponsor_454
NCT04372628,sponsor_569
NCT04330599,sponsor_570
NCT04330599,sponsor_64
NCT04330599,sponsor_571
NCT04330599,sponsor_444
NCT04330599,sponsor_572
NCT04330599,sponsor_573
NCT04330599,sponsor_574
NCT04427865,sponsor_62
NCT04514627,sponsor_575
NCT04421027,sponsor_576
NCT04380792,sponsor_577
NCT04380792,sponsor_578
NCT04376879,sponsor_579
NCT04484545,sponsor_580
NCT04361500,sponsor_581
NCT04361500,sponsor_582
NCT04304053,sponsor_583
NCT04304053,sponsor_584
NCT04304053,sponsor_585
NCT04304053,sponsor_586
NCT04304053,sponsor_587
NCT04304053,sponsor_588
NCT04355143,sponsor_271
NCT04480424,sponsor_245
NCT04362085,sponsor_299
NCT04362085,sponsor_589
NCT04372004,sponsor_590
NCT04351620,sponsor_101
NCT04360278,sponsor_97
NCT04433026,sponsor_106
NCT04319315,sponsor_106
NCT04363216,sponsor_224
NCT04403386,sponsor_96
NCT04403386,sponsor_97
NCT04412772,sponsor_591
NCT04552951,sponsor_592
NCT04552951,sponsor_593
NCT04552951,sponsor_594
NCT04424849,sponsor_595
NCT04334382,sponsor_276
NCT04334382,sponsor_277
NCT04334382,sponsor_596
NCT04438057,sponsor_597
NCT04374903,sponsor_598
NCT04367662,sponsor_599
NCT04473118,sponsor_600
NCT04463420,sponsor_601
NCT04354597,sponsor_598
NCT04410159,sponsor_602
NCT04410159,sponsor_603
NCT04357990,sponsor_604
NCT04393311,sponsor_68
NCT04500132,sponsor_605
NCT04368013,sponsor_606
NCT04368013,sponsor_607
NCT04368013,sponsor_608
NCT04442191,sponsor_609
NCT04392414,sponsor_538
NCT04358211,sponsor_610
NCT04358211,sponsor_611
NCT04362189,sponsor_612
NCT04362189,sponsor_613
NCT04362189,sponsor_614
NCT04362189,sponsor_615
NCT04391127,sponsor_616
NCT04335136,sponsor_617
NCT04389645,sponsor_618
NCT04492254,sponsor_619
NCT04492254,sponsor_413
NCT04331366,sponsor_492
NCT04457726,sponsor_183
NCT04457726,sponsor_620
NCT04457726,sponsor_185
NCT04457726,sponsor_184
NCT04457726,sponsor_621
NCT04457726,sponsor_622
NCT04358549,sponsor_623
NCT04372368,sponsor_253
NCT04330690,sponsor_624
NCT04330690,sponsor_569
NCT04330690,sponsor_625
NCT04370236,sponsor_626
NCT04549337,sponsor_493
NCT04456452,sponsor_627
NCT04359511,sponsor_628
NCT04396106,sponsor_629
NCT04331795,sponsor_101
NCT04333225,sponsor_630
NCT04351724,sponsor_631
NCT04351724,sponsor_632
NCT04351724,sponsor_633
NCT04351724,sponsor_634
NCT04351724,sponsor_635
NCT04351724,sponsor_636
NCT04351724,sponsor_637
NCT04452617,sponsor_638
NCT04429867,sponsor_639
NCT04344444,sponsor_640
NCT04494724,sponsor_641
NCT04405843,sponsor_642
NCT04425772,sponsor_643
NCT04359264,sponsor_299
NCT04377659,sponsor_644
NCT04344080,sponsor_519
NCT04473131,sponsor_600
NCT04473131,sponsor_645
NCT04473131,sponsor_646
NCT04352465,sponsor_647
NCT04352465,sponsor_648
NCT04352465,sponsor_649
NCT04352465,sponsor_650
NCT04380779,sponsor_577
NCT04380779,sponsor_578
NCT04474457,sponsor_651
NCT04474457,sponsor_652
NCT04474457,sponsor_653
NCT04474457,sponsor_654
NCT04474457,sponsor_655
NCT04474457,sponsor_656
NCT04474457,sponsor_595
NCT04474457,sponsor_657
NCT04474457,sponsor_658
NCT04474457,sponsor_659
NCT04474457,sponsor_660
NCT04474457,sponsor_661
NCT04474457,sponsor_662
NCT04474457,sponsor_663
NCT04474457,sponsor_664
NCT04486313,sponsor_665
NCT04348448,sponsor_666
NCT04483908,sponsor_552
NCT04483908,sponsor_667
NCT04483908,sponsor_668
NCT04432961,sponsor_405
NCT04432961,sponsor_406
NCT04391920,sponsor_669
NCT04427566,sponsor_670
NCT04432766,sponsor_671
NCT04382586,sponsor_672
NCT04429711,sponsor_673
NCT04365634,sponsor_80
NCT04347954,sponsor_68
NCT04536090,sponsor_674
NCT04536090,sponsor_675
NCT04536090,sponsor_676
NCT04536090,sponsor_677
NCT04307693,sponsor_678
NCT04344236,sponsor_234
NCT04385849,sponsor_679
NCT04400461,sponsor_680
NCT04467047,sponsor_681
NCT04363814,sponsor_682
NCT04363814,sponsor_683
NCT04397562,sponsor_684
NCT04345692,sponsor_591
NCT04364763,sponsor_685
NCT04433910,sponsor_686
NCT04411628,sponsor_576
NCT04411628,sponsor_687
NCT04397718,sponsor_688
NCT04331899,sponsor_68
NCT04362332,sponsor_689
NCT04362332,sponsor_690
NCT04341506,sponsor_691
NCT04323631,sponsor_692
NCT04323631,sponsor_693
NCT04434131,sponsor_694
NCT04427501,sponsor_576
NCT04427501,sponsor_687
NCT04427501,sponsor_695
NCT04331834,sponsor_696
NCT04331834,sponsor_697
NCT04331834,sponsor_587
NCT04331834,sponsor_698
NCT04331834,sponsor_699
NCT04331834,sponsor_700
NCT04443803,sponsor_701
NCT04443803,sponsor_702
NCT04371926,sponsor_590
NCT04386252,sponsor_703
NCT04465474,sponsor_189
NCT04465474,sponsor_4
NCT04465474,sponsor_704
NCT04465474,sponsor_705
NCT04465474,sponsor_706
NCT04465474,sponsor_707
NCT04465474,sponsor_708
NCT04465474,sponsor_709
NCT04465474,sponsor_710
NCT04465474,sponsor_711
NCT04313322,sponsor_712
NCT04542850,sponsor_713
NCT04542850,sponsor_714
NCT04501952,sponsor_715
NCT04313023,sponsor_716
NCT04336254,sponsor_111
NCT04336254,sponsor_717
NCT04336254,sponsor_718
NCT04466280,sponsor_601
NCT04456595,sponsor_225
NCT04456595,sponsor_719
NCT04332094,sponsor_698
NCT04332094,sponsor_323
NCT04292899,sponsor_715
NCT04481633,sponsor_223
NCT04385264,sponsor_720
NCT04370782,sponsor_721
NCT04539262,sponsor_715
NCT04312997,sponsor_716
NCT04334980,sponsor_722
NCT04377711,sponsor_723
NCT04348409,sponsor_647
NCT04348409,sponsor_724
NCT04348409,sponsor_725
NCT04348409,sponsor_726
NCT04348409,sponsor_727
NCT04348409,sponsor_728
NCT04418375,sponsor_2
NCT04418375,sponsor_729
NCT04418375,sponsor_730
NCT04353518,sponsor_731
NCT04353518,sponsor_732
NCT04360551,sponsor_733
NCT04343989,sponsor_234
NCT04488081,sponsor_734
NCT04488081,sponsor_735
NCT04488081,sponsor_528
NCT04488081,sponsor_100
NCT04488081,sponsor_492
NCT04488081,sponsor_186
NCT04488081,sponsor_539
NCT04488081,sponsor_253
NCT04488081,sponsor_157
NCT04488081,sponsor_71
NCT04488081,sponsor_105
NCT04488081,sponsor_736
NCT04488081,sponsor_737
NCT04488081,sponsor_738
NCT04421404,sponsor_739
NCT04421404,sponsor_740
NCT04421404,sponsor_741
NCT04421404,sponsor_735
NCT04348435,sponsor_612
NCT04348435,sponsor_614
NCT04460183,sponsor_742
NCT04329572,sponsor_647
NCT04308317,sponsor_87
NCT04431453,sponsor_715
NCT04292730,sponsor_715
NCT04445935,sponsor_600
NCT04399317,sponsor_600
NCT04421625,sponsor_743
NCT04428021,sponsor_744
NCT04345510,sponsor_745
NCT04463264,sponsor_746
NCT04484597,sponsor_747
NCT04345523,sponsor_748
NCT04345523,sponsor_749
NCT04542967,sponsor_750
NCT04426084,sponsor_198
NCT04395391,sponsor_751
NCT04374279,sponsor_752
NCT04359992,sponsor_360
NCT04379479,sponsor_753
NCT04371965,sponsor_754
NCT04381962,sponsor_445
NCT04381962,sponsor_215
NCT04473170,sponsor_755
NCT04346615,sponsor_756
NCT04482699,sponsor_757
NCT04482699,sponsor_114
NCT04448119,sponsor_758
NCT04448119,sponsor_759
NCT04448119,sponsor_760
NCT04448119,sponsor_624
NCT04448119,sponsor_530
NCT04448119,sponsor_375
NCT04491292,sponsor_761
NCT04491292,sponsor_292
NCT04343976,sponsor_762
NCT04343976,sponsor_763
NCT04343976,sponsor_66
NCT04482647,sponsor_761
NCT04482647,sponsor_292
NCT04537117,sponsor_764
NCT04312464,sponsor_765
