covidtrialID,observationOMOPID
NCT04279795,4043522
NCT04395664,45878027
NCT04436458,4162369
NCT04413071,45879403
NCT04363593,4115472
NCT04400929,4035815
NCT04412226,1586096
NCT04341103,35921199
NCT04341103,4271678
NCT04323761,4242424
NCT04323761,4035815
NCT04323761,4077504
NCT04366817,44790559
NCT04401072,4182352
NCT04470622,4035815
NCT04374422,4338692
NCT04377737,4144287
NCT04353323,4076624
NCT04416438,4306655
NCT04365322,4035815
NCT04394884,4035815
NCT04472572,45878027
NCT04366154,4046033
NCT04323839,4149241
NCT04338360,45878027
NCT04416360,4046033
NCT04397705,45879403
NCT04397705,3050013
NCT04450004,45879403
NCT04450004,413628
NCT04399252,4053939
NCT04376944,4046033
NCT04352634,4134564
NCT04394039,4263218
NCT04382196,407634
NCT04435106,35921199
NCT04444531,4035815
NCT04384042,45878027
NCT04470297,4035815
NCT04385017,4023221
NCT04397900,4043522
NCT04377724,4277918
NCT04452565,43021229
NCT04444700,45878027
NCT04394455,4144287
NCT04400799,4043522
NCT04400799,4044711
NCT04435522,4176766
NCT04355351,402267
NCT04460014,4306655
NCT04460014,4085332
NCT04460014,440279
NCT04352491,35921199
NCT04412343,4075635
NCT04359693,44790559
NCT04400006,1586096
NCT04458298,4048295
NCT04458298,4035815
NCT04329533,762907
NCT04456153,4048295
NCT04470427,2149843
NCT04470427,45879403
NCT04279782,4043522
NCT04377035,45878027
NCT04383470,1177322
NCT04361396,46237515
NCT04455360,4048295
NCT04306705,4035815
NCT04459520,4195864
NCT04385212,40479411
NCT04447638,1586096
NCT04407533,4075635
NCT04390165,45878027
NCT04383652,4046033
NCT04459325,45879403
NCT04436276,45879403
NCT04459819,45878027
NCT04369989,4212055
NCT04335162,4271678
NCT04408027,4046033
NCT04326036,4183757
NCT04326036,4125107
NCT04326036,4140488
NCT04325919,45878027
NCT04366297,36309512
NCT04464395,45879403
NCT04358510,4306655
NCT04369456,4271678
NCT04368897,45878027
NCT04355234,44790559
NCT04441372,40768411
NCT04465604,4035815
NCT04407429,407634
NCT04370210,4144287
NCT04370210,46237515
NCT04344977,46237515
NCT04432805,4478995
NCT04346212,45879403
NCT04344015,40973
NCT04344015,4022061
NCT04407663,4046033
NCT04454372,45878027
NCT04362358,45881516
NCT04379063,4075635
NCT04452487,4306655
NCT04357340,4044711
NCT04354701,4214956
NCT04419623,4035815
NCT04359953,4044711
NCT04359953,4059015
NCT04361461,46237515
NCT04359654,45879403
NCT04362813,4035815
NCT04343183,4035815
NCT04432766,4035815
NCT04308668,4053939
NCT04382625,4035815
NCT04427566,3050013
NCT04403100,46237515
NCT04372017,4053939
NCT04312009,4088275
NCT04312997,4035815
NCT04312997,43021229
NCT04343261,45878027
NCT04416048,4043369
NCT04405076,4021661
NCT04396106,4035815
NCT04346628,45879403
NCT04357457,46234712
NCT04364763,4223299
NCT04255017,1586096
NCT04322565,45879403
NCT04370782,4298794
NCT04330638,40768411
NCT04328961,4053939
NCT04335123,4035815
NCT04357444,4048295
NCT04341727,43021229
NCT04382651,4035815
NCT04362137,4035815
NCT04362137,4295892
NCT04405908,45879403
NCT04345614,4035815
NCT04376034,45878027
NCT04244591,4046779
NCT04331613,3050013
NCT04331613,4295892
NCT04359810,4035815
NCT04390152,4046033
NCT04415073,4035815
NCT04348695,4271678
NCT04360824,45878027
NCT04335552,4035815
NCT04424901,4035815
NCT04424901,4153899
NCT04381936,45878027
NCT04393792,45884068
NCT04335305,45878027
NCT04335305,4035815
NCT04335305,3050013
NCT04368000,40479411
NCT04408235,4048295
NCT04327206,45884068
NCT04327206,4329592
NCT04327206,407634
NCT04321993,4035815
NCT04352751,4022061
NCT04344730,4035815
NCT04363866,40479411
NCT04382040,45879403
NCT04361435,45879403
NCT04352400,4035815
NCT04405570,46237515
NCT04356482,4048295
NCT04366323,3050013
NCT04355676,4035815
NCT04365127,4035815
NCT04384445,4203148
NCT04418128,4306655
NCT04384588,46237515
NCT04411667,4099958
NCT04405739,4048295
NCT04405739,45879403
