covidtrialID,locationID
NCT04377035,loc_11
NCT04462757,loc_5
NCT04359277,loc_0
NCT04354805,loc_14
NCT04351763,loc_29
NCT04415151,loc_0
NCT04338347,loc_0
NCT04356690,loc_0
NCT04468087,loc_4
NCT04369807,loc_5
NCT04375124,loc_18
NCT04458298,loc_0
NCT04412785,loc_0
NCT04377789,loc_18
NCT04459819,loc_3
NCT04383002,loc_6
NCT04376398,loc_12
NCT04327674,loc_11
NCT04361981,loc_2
NCT04424797,loc_0
NCT04451889,loc_7
NCT04366050,loc_0
NCT04368065,loc_0
NCT04435041,loc_5
NCT04446377,loc_0
NCT04444271,loc_25
NCT04370223,loc_2
NCT04341675,loc_0
NCT04394416,loc_0
NCT04397757,loc_0
NCT04329923,loc_0
NCT04361643,loc_2
NCT04472013,loc_19
NCT04463602,loc_15
NCT04318418,loc_3
NCT04493307,loc_0
NCT04541979,loc_20
NCT04285801,loc_35
NCT04365738,loc_18
NCT04372628,loc_0
NCT04514627,loc_0
NCT04421027,loc_0
NCT04421027,loc_22
NCT04421027,loc_4
NCT04421027,loc_8
NCT04421027,loc_3
NCT04421027,loc_32
NCT04421027,loc_31
NCT04421027,loc_15
NCT04421027,loc_7
NCT04421027,loc_2
NCT04421027,loc_5
NCT04380792,loc_2
NCT04376879,loc_1
NCT04484545,loc_5
NCT04361500,loc_8
NCT04304053,loc_2
NCT04355143,loc_0
NCT04480424,loc_0
NCT04362085,loc_6
NCT04372004,loc_0
NCT04351620,loc_0
NCT04360278,loc_0
NCT04319315,loc_14
NCT04403386,loc_0
NCT04412772,loc_0
NCT04552951,loc_2
NCT04424849,loc_18
NCT04334382,loc_0
NCT04438057,loc_0
NCT04374903,loc_49
NCT04367662,loc_1
NCT04473118,loc_75
NCT04463420,loc_40
NCT04354597,loc_49
NCT04410159,loc_30
NCT04393311,loc_0
NCT04500132,loc_31
NCT04442191,loc_0
NCT04392414,loc_7
NCT04358211,loc_0
NCT04362189,loc_0
NCT04391127,loc_15
NCT04335136,loc_24
NCT04335136,loc_11
NCT04389645,loc_28
NCT04331366,loc_0
NCT04457726,loc_37
NCT04358549,loc_0
NCT04372368,loc_0
NCT04330690,loc_6
NCT04456452,loc_0
NCT04396106,loc_0
NCT04331795,loc_0
NCT04333225,loc_0
NCT04351724,loc_24
NCT04452617,loc_1
NCT04429867,loc_0
NCT04344444,loc_0
NCT04494724,loc_0
NCT04359264,loc_6
NCT04377659,loc_0
NCT04344080,loc_8
NCT04473131,loc_75
NCT04380779,loc_2
NCT04474457,loc_18
NCT04486313,loc_0
NCT04483908,loc_19
NCT04391920,loc_0
NCT04427566,loc_0
NCT04382586,loc_0
NCT04429711,loc_28
NCT04365634,loc_10
NCT04347954,loc_0
NCT04307693,loc_31
NCT04344236,loc_0
NCT04363814,loc_92
NCT04397562,loc_7
NCT04345692,loc_0
NCT04364763,loc_0
NCT04433910,loc_8
NCT04411628,loc_0
NCT04397718,loc_0
NCT04331899,loc_0
NCT04362332,loc_13
NCT04341506,loc_0
NCT04434131,loc_0
NCT04427501,loc_0
NCT04331834,loc_2
NCT04386252,loc_0
NCT04465474,loc_10
NCT04465474,loc_35
NCT04313322,loc_49
NCT04542850,loc_67
NCT04501952,loc_0
NCT04313023,loc_0
NCT04336254,loc_10
NCT04466280,loc_40
NCT04456595,loc_4
NCT04332094,loc_2
NCT04292899,loc_0
NCT04292899,loc_10
NCT04292899,loc_1
NCT04292899,loc_8
NCT04292899,loc_35
NCT04292899,loc_3
NCT04292899,loc_32
NCT04292899,loc_31
NCT04292899,loc_13
NCT04292899,loc_37
NCT04292899,loc_2
NCT04292899,loc_20
NCT04292899,loc_48
NCT04292899,loc_5
NCT04481633,loc_1
NCT04370782,loc_0
NCT04312997,loc_0
NCT04334980,loc_9
NCT04377711,loc_0
NCT04360551,loc_0
NCT04343989,loc_0
NCT04488081,loc_0
NCT04421404,loc_0
NCT04348435,loc_0
NCT04460183,loc_5
NCT04308317,loc_10
NCT04431453,loc_0
NCT04431453,loc_2
NCT04431453,loc_5
NCT04292730,loc_0
NCT04292730,loc_10
NCT04292730,loc_1
NCT04292730,loc_8
NCT04292730,loc_35
NCT04292730,loc_3
NCT04292730,loc_32
NCT04292730,loc_31
NCT04292730,loc_13
NCT04292730,loc_37
NCT04292730,loc_2
NCT04292730,loc_20
NCT04292730,loc_48
NCT04292730,loc_5
NCT04445935,loc_75
NCT04399317,loc_75
NCT04421625,loc_1
NCT04463264,loc_22
NCT04484597,loc_14
NCT04345523,loc_2
NCT04542967,loc_15
NCT04395391,loc_0
NCT04374279,loc_0
NCT04371965,loc_1
NCT04381962,loc_5
NCT04473170,loc_47
NCT04346615,loc_0
NCT04482699,loc_0
NCT04448119,loc_6
NCT04491292,loc_0
NCT04343976,loc_0
NCT04482647,loc_0
NCT04537117,loc_14
NCT04312464,loc_10
NCT04534790,loc_15
NCT04363866,loc_0
NCT04344171,loc_8
NCT04382625,loc_0
NCT04427098,loc_3
NCT04408209,loc_21
NCT04508777,loc_0
NCT04347369,loc_10
NCT04381858,loc_15
NCT04371822,loc_14
NCT04461925,loc_39
NCT04346355,loc_3
NCT04353596,loc_24
NCT04353596,loc_8
NCT04394117,loc_9
NCT04305106,loc_10
NCT04460105,loc_0
NCT04417335,loc_13
NCT04244591,loc_10
NCT04320615,loc_0
NCT04320615,loc_6
NCT04320615,loc_11
NCT04320615,loc_1
NCT04320615,loc_8
NCT04320615,loc_3
NCT04320615,loc_13
NCT04320615,loc_2
NCT04320615,loc_5
NCT04538586,loc_1
NCT04336956,loc_1
