covidtrialID,drugOMOPID
NCT04337346,21604686
NCT04332913,19052489
NCT04332913,4112808
NCT04422561,1784444
NCT04412369,35807403
NCT04407572,19009405
NCT04407572,1308738
NCT04407572,19010696
NCT04407572,36409592
NCT04407572,4079752
NCT04407572,45882884
NCT04365725,35807195
NCT04461379,4242843
NCT04461379,1777087
NCT04461379,40241958
NCT04461379,1734104
NCT04461379,173817
NCT04461379,1784444
NCT04461379,45876414
NCT04461379,4234288
NCT04461379,45883741
NCT04461379,4024511
NCT04447235,42539487
NCT04447235,4253605
NCT04447235,210873
NCT04447235,19049024
NCT04447235,1784444
NCT04456595,4076516
NCT04456595,429709
NCT04456595,37396891
NCT04456595,4242843
NCT04456595,21601607
NCT04456595,7242
NCT04456595,1551099
NCT04456595,724182
NCT04456595,413266
NCT04456595,4008249
NCT04456595,43012953
NCT04353596,4169347
NCT04418544,35807195
NCT04433078,1738521
NCT04433078,36311025
NCT04433078,74091
NCT04433078,740275
NCT04433078,1310149
NCT04433078,984232
NCT04442048,429709
NCT04442048,4173939
NCT04442048,1541079
NCT04442048,3186744
NCT04442048,21601607
NCT04442048,21601607
NCT04442048,45768802
NCT04442048,19014878
NCT04442048,950637
NCT04442048,19010482
NCT04442048,4024511
NCT04442048,435718
NCT04442048,1551099
NCT04442048,4024511
NCT04409535,4225182
NCT04379531,35940183
NCT04322188,421896
NCT04445389,4008249
NCT04445389,4179735
NCT04445389,4256634
NCT04445389,4232572
NCT04445389,4194767
NCT04445389,3580636
NCT04445389,35807487
NCT04445389,4086845
NCT04445389,4024018
NCT04445389,358034
NCT04445389,4242843
NCT04445389,915632
NCT04460183,45769697
NCT04445220,4046792
NCT04445220,19006871
NCT04445220,4306137
NCT04467918,1792515
NCT04467918,1310149
NCT04467918,745466
NCT04367740,4242843
NCT04437706,4217584
NCT04366921,45775206
NCT04366921,21603109
NCT04458519,35917384
NCT04458519,1551099
NCT04458519,3623356
NCT04458519,430932
NCT04458519,19025274
NCT04447131,35807468
NCT04447131,358034
NCT04447131,19025274
NCT04444674,3038883
NCT04444674,40213267
NCT04444674,4008249
NCT04444674,413266
NCT04444674,37311064
NCT04366830,92898
NCT04366830,36310223
NCT04366830,4024408
NCT04366830,19025274
NCT04456088,1541079
NCT04456088,19025274
NCT04412746,4256491
NCT04439006,764639
NCT04439006,1310149
NCT04439006,35807463
NCT04439006,35807208
NCT04439006,45772615
NCT04439006,419137
NCT04439006,4313609
NCT04360278,3580636
NCT04360278,4132855
NCT04360278,45878727
NCT04360278,4017294
NCT04360278,1115572
NCT04360278,35807211
NCT04341207,1792515
NCT04341207,1734104
NCT04341207,174694
NCT04341207,437168
NCT04341207,4261107
NCT04341207,4236208
NCT04341207,1777087
NCT04341207,1436678
NCT04341207,724358
NCT04341207,4194767
NCT04341207,4299658
NCT04445623,1035015
NCT04445623,19008106
NCT04445623,4022675
NCT04445623,4236208
NCT04452474,19052489
NCT04452474,19006871
NCT04452474,45768802
NCT04452474,4029802
NCT04452474,46237097
NCT04452474,1114375
NCT04452474,40171288
NCT04452474,4152978
NCT04452474,35621782
NCT04452474,1119119
NCT04452474,1151789
NCT04452474,44811813
NCT04452474,40796107
NCT04452474,35807404
NCT04355793,35807404
NCT04355793,4236208
NCT04355793,40244464
NCT04355793,4328107
NCT04466670,36674433
NCT04466670,35807195
NCT04466670,1035015
NCT04363528,358034
NCT04459676,19052489
NCT04459676,4325686
NCT04459676,4037956
NCT04459676,1797513
NCT04459676,751412
NCT04459676,35807195
NCT04435028,37396891
NCT04435028,4082763
NCT04412382,4251143
NCT04380870,358034
NCT04380870,4242843
NCT04380870,45763504
NCT04380870,35625954
NCT04380870,36444848
NCT04452812,35807403
NCT04452812,722871
NCT04452812,37035348
NCT04448119,32765
NCT04448119,1759455
NCT04448119,1373928
NCT04446104,4588466
NCT04446104,4082383
NCT04446104,1780601
NCT04446104,4082383
NCT04446104,1734104
NCT04446104,997276
NCT04446104,797617
NCT04446104,948078
NCT04446104,766814
NCT04466683,2792147
NCT04466683,1329241
NCT04466683,1350066
NCT04466683,1305058
NCT04466683,1333357
NCT04466683,1310317
NCT04466683,1309944
NCT04466683,4295112
NCT04465513,35625641
NCT04465513,19025274
NCT04465513,36308364
NCT04465513,19071968
NCT04444401,44777813
NCT04445285,36241494
NCT04445285,44802115
NCT04382560,4576757
NCT04460105,35200405
NCT04460105,4236208
NCT04460105,35807195
NCT04460105,4253598
NCT04460105,1305058
NCT04460105,19014878
NCT04460105,143665
NCT04460105,4253603
NCT04460105,42536054
NCT04460105,42539003
NCT04460105,19052489
NCT04460105,19071968
NCT04404192,37312448
NCT04404192,21604564
NCT04404192,35807237
NCT04404192,733301
NCT04404192,36237146
NCT04404192,36444848
NCT04404192,1510417
NCT04453488,4224323
NCT04453488,4024511
NCT04453488,1551099
NCT04453488,1792515
NCT04453488,1777087
NCT04453488,4075214
NCT04387838,37311061
NCT04387838,1777087
NCT04414059,19025274
NCT04470999,4273629
NCT04436484,35917384
NCT04436484,723814
NCT04436484,1550557
NCT04436484,4273629
NCT04436484,724252
NCT04455958,4114164
NCT04455958,35621782
NCT04455958,173817
NCT04455958,4306811
NCT04455958,985708
NCT04455958,1703653
NCT04455958,17505
NCT04455958,1715472
NCT04455958,1746244
NCT04455958,1763204
NCT04455958,74091
NCT04455958,740275
NCT04455958,734275
NCT04455958,1398039
NCT04474340,413266
NCT04461353,44100461
NCT04461353,37312448
NCT04461353,429709
NCT04461353,765721
NCT04461353,2615301
NCT04461353,36444848
NCT04461353,4002354
NCT04461353,21604022
NCT04461353,1777087
NCT04461353,1792515
NCT04461353,175131
NCT04461353,1760616
NCT04461353,21604889
NCT04461353,4219336
NCT04476927,19010309
NCT04464460,4152129
NCT04464460,4188166
NCT04487990,950435
NCT04487990,1367571
