covidtrialID,conditionOMOPID
NCT04432870,1975
NCT04432870,75576
NCT04472052,43104
NCT04470258,257581
NCT04470258,255573
NCT04470258,100357
NCT04470258,4223659
NCT04470258,254761
NCT04470258,4166225
NCT04470258,4063122
NCT04470258,4058397
NCT04470258,31967
NCT04470258,441408
NCT04470258,36308395
NCT04470258,317109
NCT04355754,100357
NCT04355754,4120739
NCT04355754,9219
NCT04355754,36307931
NCT04370249,37311061
NCT04447209,45884656
NCT04420806,44791986
NCT04420806,44809027
NCT04420806,4236854
NCT04420806,381316
NCT04420806,38003115
NCT04420806,138443
NCT04327180,45878255
NCT04395391,37311061
NCT04453280,45877921
NCT04381013,46235351
NCT04381013,194984
NCT04381013,43225
NCT04381013,37311061
NCT04395742,45882797
NCT04395742,43530807
NCT04354584,45771048
NCT04354584,4169095
NCT04354584,4154803
NCT04354584,4337611
NCT04354584,35807484
NCT04432922,312437
NCT04468802,36249499
NCT04468802,4329169
NCT04365166,4588122
NCT04365166,4242843
NCT04365166,4068118
NCT04365166,4299535
NCT04365166,4185135
NCT04337996,4299535
NCT04337996,4185135
NCT04429815,37311061
NCT04466241,4232893
NCT04466241,45882797
NCT04466241,43021965
NCT04466241,4030518
NCT04466241,43009039
NCT04466241,45878255
NCT04466241,45882797
NCT04466241,4345578
NCT04466241,4299535
NCT04466241,4185135
NCT04466241,418221
NCT04344210,418221
NCT04344210,377889
NCT04344210,4196636
NCT04344210,440424
NCT04375709,4170893
NCT04375709,4153516
NCT04375709,37311061
NCT04375709,437663
NCT04375709,4226263
NCT04375709,254761
NCT04375709,260427
NCT04416347,100357
NCT04416347,316139
NCT04322487,37311061
NCT04388605,4299535
NCT04344171,37311061
NCT04342208,4206788
NCT04342208,4080995
NCT04342208,443464
NCT04342208,373786
NCT04342208,44789133
NCT04410458,440985
NCT04370808,37311061
NCT04350086,4299535
NCT04350086,4306137
NCT04350086,43021965
NCT04350086,320425
NCT04350086,317002
NCT04350086,4164092
NCT04445194,40233292
NCT04445194,441202
NCT04445194,139902
NCT04445194,433595
NCT04445194,4119134
NCT04445194,132772
NCT04445194,36308802
NCT04445194,43530807
NCT04445194,1399
NCT04445194,133834
NCT04445194,312437
NCT04445194,432791
NCT04445194,37311061
NCT04445194,703439
NCT04445194,703439
NCT04445194,4318555
NCT04445194,201618
NCT04445194,196523
NCT04445194,200219
NCT04445194,441408
NCT04445194,4079975
NCT04445194,435244
NCT04445194,44037
NCT04445194,411683
NCT04445194,40493262
NCT04445194,706376
NCT04445194,436033
NCT04445194,4169249
NCT04445194,45771096
NCT04445194,318736
NCT04445194,380378
NCT04445194,381316
NCT04445194,377091
NCT04445194,372887
NCT04445194,4130717
NCT04445194,373189
NCT04445194,443904
NCT04445194,4214703
NCT04445194,45879799
NCT04445194,141253
NCT04445194,443612
NCT04445194,320136
NCT04445194,255573
NCT04445194,255573
NCT04445194,317009
NCT04445194,36308301
NCT04445194,319835
NCT04445194,321319
NCT04445194,4185932
NCT04445194,44784217
NCT04445194,4081706
NCT04445194,4329847
NCT04445194,4167085
NCT04445194,314383
NCT04445194,4138837
NCT04445194,43287
NCT04445194,35807484
NCT04445194,443392
NCT04445194,4306137
NCT04445194,4299535
NCT04445194,409491
NCT04427137,4080762
NCT04427137,433939
NCT04427137,4333677
NCT04427137,36310428
NCT04427137,435783
NCT04427137,4286201
NCT04427137,444434
NCT04427137,43259
NCT04427137,36308796
NCT04427137,40767974
NCT04427137,4173938
NCT04427137,4130819
NCT04427137,4332246
NCT04427137,4239757
NCT04382794,4299535
NCT04382794,4588336
NCT04382794,374925
NCT04382794,4170148
NCT04382794,4119715
NCT04382794,4256228
NCT04348864,4299535
NCT04353141,42539186
NCT04353141,4121603
NCT04353141,37311061
NCT04353141,756039
NCT04353141,36308641
NCT04245631,4266367
NCT04245631,100357
NCT04245631,44783749
NCT04245631,261326
NCT04245631,43012151
NCT04245631,4013868
NCT04245631,257315
NCT04245631,4190559
NCT04245631,4137275
NCT04245631,80182
NCT04245631,255848
NCT04447534,45882797
NCT04447534,3170072
NCT04380987,37311061
NCT04397237,37311061
NCT04448145,4229126
NCT04456361,40589905
NCT04456361,139902
NCT04456361,441202
NCT04456361,195771
NCT04456361,4019513
NCT04456361,4128228
NCT04456361,706376
NCT04456361,43225
NCT04397666,37311061
NCT04397666,443783
NCT04397666,4164633
NCT04397666,317002
NCT04397666,196236
NCT04397666,196236
NCT04392219,4299535
NCT04392219,4185135
NCT04392219,4178538
NCT04392219,45881078
NCT04392219,19499
NCT04392219,45881081
NCT04392219,4192658
NCT04392219,42081375
NCT04392219,4161455
NCT04392219,432585
NCT04392219,4256632
NCT04392219,437663
NCT04392219,436954
NCT04392219,706376
NCT04392219,4281232
NCT04392219,197494
NCT04392219,4182582
NCT04392219,434621
NCT04392219,4153516
NCT04392219,316139
NCT04392219,437833
NCT04392219,314664
NCT04357366,46284866
NCT04357366,4256228
NCT04357366,4239314
NCT04357366,43021965
NCT04357366,434899
NCT04357366,4299535
NCT04357366,4306137
NCT04357366,4142985
NCT04408391,37399484
NCT04408391,2107553
NCT04408391,36210099
NCT04408391,4148702
NCT04408391,38186
NCT04408391,45882797
NCT04408391,4215127
NCT04408391,4102714
NCT04408391,4099455
NCT04408391,4299535
NCT04408391,4185135
NCT04408391,4185711
NCT04412304,1177387
NCT04397822,443392
NCT04397822,22281
NCT04397822,80809
NCT04397822,201606
NCT04365959,4299535
NCT04365959,4029783
NCT04365959,255573
NCT04365959,45882797
NCT04459689,4140977
NCT04459689,35917477
NCT04397575,443392
NCT04397575,4334403
NCT04342104,45882797
NCT04342104,100357
NCT04410549,4299535
NCT04410549,4185135
NCT04410549,43530807
NCT04410549,36308395
NCT04410549,4179955
NCT04410549,4210327
NCT04410549,4239826
NCT04463602,44792232
NCT04463602,4299535
NCT04463602,4188824
NCT04463602,4160039
NCT04463602,4289933
NCT04463602,40482801
NCT04463602,4206788
NCT04463602,4153516
NCT04463602,46235351
NCT04463602,316139
NCT04463602,13983
NCT04373759,321042
NCT04445506,757683
NCT04445506,255573
NCT04445506,443727
NCT04445506,42536603
NCT04445506,432545
NCT04445506,4099334
NCT04445506,436073
NCT04388631,316866
NCT04388631,45879799
NCT04388631,317576
NCT04388631,432867
NCT04388631,31821
NCT04388631,4254542
NCT04388631,4167354
NCT04388631,419416
NCT04388631,429
NCT04388631,43225
NCT04388631,411311
NCT04388631,45884513
NCT04388631,4133611
NCT04388631,4142827
NCT04388631,45879311
NCT04388631,4049931
NCT04388631,137212
NCT04388631,1177324
NCT04388631,200763
NCT04388631,4214703
NCT04388631,4190559
NCT04388631,443783
NCT04388631,45880757
NCT04388631,4023221
NCT04410939,37311061
NCT04410939,756039
NCT04410939,437663
NCT04410939,254761
NCT04410939,312437
NCT04410939,4226263
NCT04420468,312653
NCT04420468,37311061
NCT04368975,40218804
NCT04383444,37311061
NCT04383444,437663
NCT04383444,4226263
NCT04383444,254761
NCT04383444,4041664
NCT04383444,4289517
NCT04383444,4185711
NCT04411563,4186898
NCT04411563,43374
NCT04411563,443392
NCT04411563,4182582
NCT04411563,434621
NCT04411563,4169249
NCT04411563,100357
NCT04411563,36308133
NCT04438239,4309345
NCT04438239,37311061
NCT04438239,418221
NCT04438239,36308213
NCT04438239,44802972
NCT04438239,37079378
NCT04438239,381316
NCT04438239,4132546
NCT04438239,316139
NCT04438239,442921
NCT04428099,45882326
NCT04428099,4228456
NCT04428099,36308213
NCT04428099,201606
NCT04428099,421331
NCT04428099,444401
NCT04428099,433031
NCT04428099,4310822
NCT04434417,4266367
NCT04434417,100357
NCT04434417,320651
NCT04434417,44783749
NCT04434417,261326
NCT04434417,43012151
NCT04434417,4013868
NCT04434417,257315
NCT04434417,4190559
NCT04434417,4137275
NCT04434417,80182
NCT04434417,255848
NCT04413045,4299535
NCT04445207,4028665
NCT04445207,37311061
NCT04374695,36308395
NCT04374695,43529712
NCT04374695,46235351
NCT04374695,37311061
NCT04374695,4134586
NCT04374695,319835
NCT04374695,443783
NCT04374695,20182
NCT04374695,443392
NCT04346927,443432
NCT04346927,373786
NCT04388436,434489
NCT04323644,37311061
NCT04323644,756039
NCT04337359,43021965
NCT04337359,4030518
NCT04337359,4299535
NCT04337359,36717536
NCT04337359,4306137
NCT04333849,45882797
NCT04467151,45882797
NCT04467151,44807494
NCT04423289,36717536
NCT04274322,45885146
NCT04328454,35940172
NCT04328454,439392
NCT04328454,4299535
NCT04371029,4299535
NCT04407494,38000046
NCT04407494,443432
NCT04407494,405163
NCT04407494,45882797
NCT04407494,4299535
NCT04407494,4185135
NCT04407494,4169709
NCT04407494,1177314
NCT04469114,19025274
NCT04469114,4130722
NCT04469114,4153516
NCT04469114,43374
NCT04469114,4066212
NCT04469114,4079147
NCT04469114,457659
NCT04469114,439777
NCT04469114,43530807
NCT04469114,3045632
NCT04469114,4273391
NCT04469114,4012972
NCT04469114,4027381
NCT04469114,432602
NCT04469114,440029
NCT04469114,443943
NCT04469114,4141802
NCT04469114,434557
NCT04469114,19499
NCT04469114,706376
NCT04447144,44811552
NCT04452435,37311061
NCT04452435,4284984
NCT04452435,255573
NCT04452435,255573
NCT04452435,4197819
NCT04452435,4017188
NCT04452435,317009
NCT04452435,37311061
NCT04452435,706376
NCT04452435,4178614
NCT04452435,321042
NCT04452435,45882797
NCT04452435,375545
NCT04452435,4066212
NCT04452435,4299535
NCT04452435,4188824
NCT04452435,40757139
NCT04435015,36304653
NCT04435015,4299535
NCT04435015,4306137
NCT04435015,40589905
NCT04335747,43374
NCT04335747,706376
NCT04335747,4223853
NCT04335747,4074815
NCT04335747,37311061
NCT04335747,756039
NCT04452643,36308213
NCT04452643,139902
NCT04452643,45882797
NCT04452643,43374
NCT04452643,4066212
NCT04452643,4299535
NCT04452643,4299535
NCT04452643,4185135
NCT04452643,706376
NCT04355884,444094
NCT04355884,4047088
NCT04355884,42539346
NCT04344002,258369
NCT04384887,763918
NCT04384887,3026655
NCT04417673,25518
NCT04417673,4278669
NCT04417673,4287844
NCT04324047,4284984
NCT04324047,43225
NCT04324047,4323342
NCT04324047,434281
NCT04324047,434557
NCT04324047,315085
NCT04324047,254061
NCT04412551,316139
NCT04412551,45884896
NCT04412551,4197819
NCT04412551,4119786
NCT04412551,4222936
NCT04412551,192359
NCT04347278,37311061
NCT04347278,37311061
NCT04468971,4074666
NCT04468971,4299535
NCT04468971,132736
NCT04468971,43021965
NCT04468971,193782
NCT04388618,424435
NCT04388618,4165529
NCT04388618,4057307
NCT04388618,4274025
NCT04388618,4299535
NCT04388618,4306137
NCT04388618,440703
NCT04388618,405163
NCT04388618,43530807
NCT04448743,46235351
NCT04448743,37016731
NCT04448743,43287
NCT04453371,4299535
NCT04453371,4185135
NCT04453371,43530807
NCT04453371,132797
NCT04453371,4179955
NCT04453371,4210327
NCT04453371,381316
NCT04453371,439847
NCT04453371,4217246
NCT04453371,443392
NCT04453371,4140465
NCT04453371,36310054
NCT04453371,4305757
NCT04453371,4289933
NCT04453371,42656
NCT04453371,4119775
NCT04453371,4245975
NCT04453371,4064161
NCT04453371,19268
NCT04453371,4026125
NCT04453371,4239826
NCT04320511,4299535
NCT04320511,255573
NCT04320511,319835
NCT04320511,258369
NCT04406181,37311061
NCT04403386,37311061
NCT04403386,443392
NCT04403386,4299535
NCT04403386,4306137
NCT04339998,45882797
NCT04339998,35922501
NCT04401540,37311061
NCT04414293,1177324
NCT04373005,437663
NCT04373005,415316
NCT04373005,45882797
NCT04459962,37311061
NCT04358588,37311061
NCT04358588,19025274
NCT04358588,4299535
NCT04358588,4253634
NCT04358588,316139
NCT04358588,4323898
NCT04358588,261687
NCT04463264,4185135
NCT04463264,4299535
NCT04463264,42964
NCT04463264,4116992
NCT04463264,4236139
NCT04463264,45882797
NCT04463264,45882797
NCT04457726,4058991
NCT04457726,4299535
NCT04457726,4185135
NCT04445246,4299535
NCT04445246,408104
NCT04445246,45877213
NCT04445246,45882797
NCT04354610,4299535
NCT04354610,36717536
NCT04472728,4154766
NCT04472728,35805049
NCT04472728,793628
NCT04472728,42083368
NCT04472728,42585107
NCT04472728,43021965
NCT04472728,198124
NCT04472728,4030518
NCT04472728,45877426
NCT04357886,4184757
NCT04397172,4299535
NCT04397172,4188824
NCT04397172,4174262
NCT04397172,4478252
NCT04397172,76685
NCT04397172,137275
NCT04457817,37311061
NCT04457817,4299535
NCT04457817,4238923
NCT04389489,423714
NCT04403607,4253634
NCT04403607,4058397
NCT04403607,4017188
NCT04403607,314664
NCT04403607,45884784
NCT04403607,4299535
NCT04403607,4188824
NCT04403607,4142985
NCT04425850,4299535
NCT04425850,43530807
NCT04420338,4299535
NCT04420338,4185135
NCT04420338,45878035
NCT04426006,703439
NCT04426006,37311061
NCT04426006,437663
NCT04426006,4223659
NCT04426006,4038519
NCT04426006,312437
NCT04426006,4289517
NCT04426006,378253
NCT04426006,379019
NCT04426006,4201745
NCT04426006,441408
NCT04426006,196523
NCT04426006,4299535
NCT04426006,4185135
NCT04468009,319835
NCT04468009,45767315
NCT04468009,45884383
NCT04468009,441202
NCT04355611,4320791
NCT04355611,4334403
NCT04401449,4299535
NCT04401449,4306137
NCT04401449,45880544
NCT04401449,435783
NCT04401449,436665
NCT04401449,4058397
NCT04401449,43225
NCT04401449,4190465
NCT04455308,141456
NCT04466839,37204371
NCT04373200,4299535
NCT04373200,440371
NCT04373200,4013106
NCT04373200,4066212
NCT04422353,1177324
NCT04422353,4289933
NCT04422353,4329847
NCT04422353,381316
NCT04422353,440638
NCT04409847,316866
NCT04463433,4192296
NCT04368884,45882797
NCT04462757,320073
NCT04462757,4066212
NCT04462757,4003404
NCT04462757,421254
NCT04462757,4188824
NCT04462757,43530807
NCT04462757,723891
NCT04462757,19030957
NCT04462757,4131548
NCT04376593,4299535
NCT04376593,4188824
NCT04376593,4225885
NCT04376593,45884896
NCT04376593,45878035
NCT04368299,4299535
NCT04374370,45882797
NCT04444687,703439
NCT04444687,703439
NCT04451083,100357
NCT04451083,45881078
NCT04451083,4192658
NCT04451083,19499
NCT04451083,45881081
NCT04451083,40233292
NCT04451083,433753
NCT04451083,43021965
NCT04341792,100357
NCT04341792,4125554
NCT04341792,37311061
NCT04378803,443432
NCT04378803,4066161
NCT04378803,4128935
NCT04378803,436665
NCT04378803,415228
NCT04378803,3630942
NCT04459286,43021965
NCT04459286,4299535
NCT04459286,4306137
NCT04459286,37311061
NCT04459286,703439
NCT04459286,4274025
NCT04459286,45881078
NCT04459286,134057
NCT04459286,443392
NCT04459286,4063381
NCT04462848,4226672
NCT04462848,441202
NCT04462848,437663
NCT04462848,4185135
NCT04462848,432795
NCT04462848,703439
NCT04462848,4299535
NCT04422522,4291025
NCT04368208,4216316
NCT04368208,36308213
NCT04405466,703439
NCT04405466,437663
NCT04405466,43449
NCT04405466,4223659
NCT04405466,442752
NCT04405466,442752
NCT04405466,4226263
NCT04405466,254761
NCT04405466,4276172
NCT04405466,312437
NCT04405466,312437
NCT04405466,314754
NCT04405466,7767
NCT04405466,434154
NCT04405466,378253
NCT04453748,43225
NCT04469491,43021965
NCT04469491,4245975
NCT04469491,4299535
NCT04469491,36717536
NCT04401150,100357
