covidtrialID,procedureOMOPID
NCT04487990,412012
NCT04363775,4202832
NCT03808922,36308581
NCT03808922,4208341
NCT03808922,4273629
NCT03808922,37397252
NCT04474483,4027509
NCT04193878,4177224
NCT04193878,4106628
NCT04193878,4300757
NCT04193878,36308581
NCT04477668,19025274
NCT04447781,4240345
NCT04447781,4163951
NCT04447781,4163872
NCT04447781,4215685
NCT04447781,4330583
NCT04447781,4117038
NCT04447781,4027509
NCT04447781,4027509
NCT04447781,4300037
NCT04447781,42538189
NCT03680274,35622675
NCT04483752,4180938
NCT04480606,4222885
NCT04346966,4222885
NCT04395599,407374
NCT04395599,4137187
NCT04395599,4251314
NCT04395599,4314251
NCT04482686,4307649
NCT04329897,4107432
NCT04487210,4307649
NCT04487210,4127886
NCT04487210,429799
NCT04487210,4001541
NCT04487210,4117038
NCT04487210,4027509
NCT04487210,42538189
NCT04487210,4144375
NCT04349540,4059029
NCT04349540,36308581
NCT04482621,19025274
NCT04482621,3720434
NCT04414319,42873024
NCT04344665,1314425
NCT04479319,407374
NCT04419870,45888518
NCT04419870,37393343
NCT04419870,45770563
NCT04419870,4132738
NCT03452774,4046273
NCT04061382,4222885
NCT04406194,419819
NCT04406194,40707
NCT04406194,4240345
NCT04406194,4027509
NCT04406194,4222885
NCT04400682,419819
NCT04400682,40707
NCT04400682,4240345
NCT04400682,4027509
NCT04400682,4222885
NCT04233268,19025274
NCT04233268,44784322
NCT04456933,45878836
NCT04456933,45888965
NCT04456933,45882769
NCT04478539,4300757
NCT04467086,36310218
NCT04467086,19025274
NCT04467086,4040597
NCT04479358,4300757
NCT04479358,407374
NCT04473053,4027509
NCT04473274,4271686
NCT04473274,4027509
NCT04480333,4240345
NCT04480333,4215685
NCT04480333,4127886
NCT04480333,429799
NCT04480333,4117038
NCT04350710,19025274
NCT04092478,4166767
NCT04477642,4242843
NCT04475107,419819
NCT04475107,4178784
NCT04481685,4211641
NCT04481685,253954
NCT04481685,4027509
NCT04485338,19025274
NCT04485338,4106628
NCT04487574,4300757
NCT04487574,423913
NCT04487574,4138487
NCT04487574,4215685
NCT04487574,4127886
NCT04487574,429799
NCT04487574,4117038
NCT04487574,4271686
NCT04487886,4180938
NCT04487886,4163872
NCT04487886,4300757
NCT04487886,4027509
NCT04487886,45882909
NCT04487886,4152025
NCT04487886,4117038
NCT04487886,4271686
NCT04487886,4127886
NCT04487886,45766058
NCT04480424,4180938
NCT04480424,4163872
NCT04480424,4123011
NCT04480424,4300757
NCT04480424,19025274
NCT04480424,36308581
NCT04486482,423913
NCT04476589,4013636
NCT04487444,36308581
NCT04482699,45888131
NCT04482699,4202832
NCT04482699,19025274
NCT04482699,4052536
NCT04487769,19025274
NCT04487769,36310597
NCT04473300,19025274
NCT04489446,4300757
NCT04489446,4299523
NCT04473690,4144375
NCT04473690,4271686
NCT04473690,4127886
NCT04473690,4001541
NCT04473690,429799
NCT04473690,42538189
NCT04473690,4052187
NCT04473690,4215685
NCT04473690,4093429
NCT04485130,4271686
NCT02735707,44791135
NCT02735707,35622675
NCT02735707,19006871
NCT04483973,19025274
NCT04441047,36308581
NCT04441047,4064615
NCT04319172,4208341
NCT04407000,419819
NCT04407000,40707
NCT04407000,4240345
NCT04407000,4027509
NCT04407000,4222885
NCT04474236,4300757
NCT04475302,4240345
NCT04480112,4222885
NCT04395508,4273629
NCT04395508,42538189
NCT04395508,4223321
NCT04486001,3701751
NCT04486001,4337138
NCT04486001,4054047
NCT04486001,4125482
NCT04486001,45768197
NCT04486001,407374
NCT04486001,36308581
NCT04473170,4300757
NCT04473170,407374
NCT04290858,35936749
NCT04290858,45768197
NCT04290858,4165535
NCT04488575,4059029
NCT04444986,419819
NCT04444986,40707
NCT04444986,4240345
NCT04444986,4027509
NCT04481620,19025274
NCT04481620,45768197
NCT04481620,4202832
NCT04481620,407374
NCT04481620,3027941
NCT04481620,423913
NCT03891420,36308581
NCT03891420,19025274
NCT03891420,4027509
NCT04380662,4273629
NCT04401033,4313889
NCT04401033,36310597
NCT04482712,4163872
NCT04477083,3027941
NCT04346979,4307649
NCT04480138,4180938
NCT04480138,4163872
NCT04480138,4027509
NCT04482205,44803204
NCT04488588,4222885
NCT03376854,4202832
NCT04375670,4300185
NCT04476719,419819
NCT04476719,40707
NCT04476719,4240345
NCT04488081,4139525
NCT04488081,4202832
NCT04460599,4300757
NCT04483375,4308496
NCT04485429,3027941
NCT04482595,36310218
NCT04482595,4027509
NCT04475185,19025274
NCT04475185,19025274
NCT04386876,419819
NCT04386876,40707
NCT04386876,4240345
NCT04386876,4222885
NCT04452318,4240345
NCT04486313,4127886
NCT04486313,429799
NCT04343053,19025274
NCT01306084,4240345
NCT04475913,4300037
NCT04485364,19025274
NCT04363632,42071219
NCT04363632,4029715
NCT04363632,44817127
NCT04363632,4211641
NCT04447833,442555
NCT03648372,4230911
NCT03648372,4311405
NCT03648372,4027509
NCT03648372,4215685
NCT03648372,4271686
NCT03648372,45882909
NCT03648372,45882909
NCT03648372,4307649
NCT04480957,4215685
NCT04480957,4027509
NCT04480034,706386
NCT04480034,4165535
NCT04402970,19025274
NCT04488510,19025274
NCT03042143,19025274
NCT04388527,19025274
NCT04388527,4052536
NCT04388527,4180938
NCT04388527,4163872
NCT04388527,4300757
NCT04328285,4027509
NCT04330495,42537546
NCT04330495,4019381
NCT04348383,423913
NCT04348383,4139525
NCT04400032,19025274
NCT04348656,36308581
NCT04336410,4240345
NCT04336410,4163951
NCT04336410,4027509
NCT04336410,4215685
NCT04343144,45637137
NCT04292899,36308581
NCT04342728,45766058
NCT04342728,4127886
NCT04342728,4117038
NCT04405271,42537546
NCT04405271,4027509
NCT04329650,4298948
NCT04363502,19025274
NCT04363502,42537546
NCT04363502,4027509
NCT04363502,4052187
NCT04363502,4298948
NCT04363502,45882909
NCT04363502,45882909
NCT04363502,4024744
NCT04377659,4202832
NCT04401475,4211641
NCT04401475,36308581
NCT04401475,4139525
NCT04401475,19025274
NCT04401475,4052536
NCT04401475,19025274
NCT04380961,429709
NCT04380961,4163872
NCT04380961,4058335
NCT04380961,407374
NCT04380961,36308581
NCT04380961,4138487
NCT04380961,19025274
NCT04380961,19025274
NCT04377997,4024656
NCT04377997,4151769
NCT04377334,4106628
NCT04377334,45768197
NCT04377334,19025274
NCT04395170,4300757
NCT04395170,36308581
NCT04390191,4056837
NCT04347174,4180938
NCT04347174,4163872
NCT04347174,4300757
NCT04347174,19025274
NCT04347174,36308581
NCT04354155,19025274
NCT04283461,4144375
NCT04283461,45882909
NCT04283461,4027509
NCT04283461,45882909
NCT04283461,4152025
NCT04283461,4052187
NCT04283461,4304921
NCT04283461,4330583
NCT04283461,4240345
NCT04283461,851
NCT04283461,40973
NCT04408040,19025274
NCT04288102,4300757
NCT04288102,427417
NCT04435184,36308581
NCT04344184,36308581
NCT04352985,19006871
NCT04352985,4327582
NCT04352985,45768197
NCT04352985,4168133
NCT04412252,4027509
NCT04412252,4061019
NCT04412252,4058335
NCT04275414,4211641
NCT04354389,4180938
NCT04354389,36308581
NCT04343729,4059029
NCT04343729,19025274
NCT04370262,4180938
NCT04370262,4163872
NCT04370262,4300757
NCT04370262,19025274
NCT04370262,36308581
NCT04370262,4027509
NCT04344951,42537546
NCT04341441,4027509
NCT04429763,4222885
NCT04439071,4180938
NCT04439071,4163872
NCT04439071,4300757
NCT04439071,4300757
NCT04439071,4027509
NCT04365257,19025274
NCT04343989,19025274
NCT04343989,42537546
NCT04343989,4027509
NCT04343989,4052187
NCT04343989,4298948
NCT04343989,45882909
NCT04343989,45882909
NCT04343989,4024744
NCT04425252,4273629
NCT04425252,4220084
NCT04425252,4027509
NCT04364815,2313845
NCT04407689,4079535
NCT04334512,4307649
NCT04358614,4106628
NCT04358614,4300757
NCT04363034,4310328
NCT04411628,4027509
NCT04359316,37397252
NCT04359316,4180938
NCT04380376,407374
NCT04391127,4300757
NCT04369742,3720434
NCT04369742,19025274
NCT04369742,4052536
NCT04369742,19006871
NCT04348500,4211641
NCT04348500,4106628
NCT04348500,4300757
NCT04348500,36310597
NCT04442178,4079535
NCT04442178,4202832
NCT04442178,4027509
NCT04426344,19025274
NCT04341389,4240345
NCT04359095,19025274
NCT04304313,4180938
NCT04421391,4062354
NCT04421391,4207158
NCT04397562,4211641
NCT04397562,407374
NCT04406389,19025274
NCT04406389,4139525
NCT04406389,36308581
NCT04389671,4013354
NCT04389671,19025274
NCT04389671,4106628
NCT04356677,4180938
NCT04356677,4163872
NCT04356677,4300757
NCT04356677,19025274
NCT04356677,36308581
NCT04356677,4027509
NCT04434248,4027509
NCT04354428,4302259
NCT04402879,4327582
NCT04382755,4058335
NCT04382755,36308581
NCT04382755,4139525
NCT04382755,19025274
NCT04382755,4139525
NCT04382755,50767
NCT04382755,4058335
NCT04382755,4027509
NCT04409509,4271686
NCT04409509,4058335
NCT04380935,19025274
NCT04401410,35622675
NCT04401410,19025274
NCT04401410,4314777
NCT04401410,4273629
NCT04401410,37396891
NCT04453891,4013636
NCT04321369,37397252
NCT04321369,4180938
NCT04338347,4202832
NCT04338347,40486624
NCT04357314,4142645
NCT04445467,4027509
NCT04367129,4163951
NCT04367129,4163872
NCT04367129,407374
NCT04448782,19025274
NCT04400838,4027509
NCT04356443,36309413
NCT04356443,36308581
NCT04446065,4215685
NCT04392323,4166767
NCT04335851,4222885
NCT04387786,19025274
NCT04386564,4300757
NCT04452669,19025274
NCT04287686,4180938
NCT04340479,4295705
NCT04433312,4166767
NCT04453527,4180938
NCT04384926,4166767
NCT04449588,4211641
NCT04449588,45768197
NCT04408222,36308581
NCT04443868,42538189
NCT04443868,4300037
NCT04443868,4330583
NCT04443868,4117038
NCT04443868,4027509
NCT04466657,19025274
NCT04333693,4235388
NCT04333693,4118656
NCT04333693,1314425
NCT04333693,4166767
NCT04401124,4256632
NCT04433286,4215133
NCT04469621,4106628
NCT04469621,4058335
NCT04469621,36308581
NCT04469621,4138487
NCT04448756,4211641
NCT04425317,4300757
NCT04337008,19025274
NCT04374084,407374
NCT04302688,407374
NCT04376775,4300185
NCT04400929,36308581
NCT04341103,45875989
NCT04438993,4180938
NCT04367662,4300757
NCT04433871,4273629
NCT04433871,4029715
NCT04433871,3186744
NCT04435379,45889547
NCT04457609,3720434
NCT04457609,4202832
NCT04409899,44803204
NCT04409899,45876597
NCT04323761,36308581
NCT04323761,4027509
NCT04347512,4300757
NCT04406844,4273629
NCT04406844,4220084
NCT04449380,407374
NCT04458363,4202832
NCT04441502,4013354
NCT04470531,724939
NCT04470531,4163872
NCT04346342,4058335
NCT04346342,407374
NCT04346342,19025274
NCT04348227,19025274
NCT04319211,4222885
NCT04361981,36310597
NCT04413955,4310328
NCT04435275,4202832
NCT04435275,36308029
NCT04470622,4273629
NCT04470622,412012
NCT04470622,4324124
NCT04463420,4300757
NCT04342637,4313889
NCT04384055,36310597
NCT04444323,45876453
NCT04347928,19025274
NCT04347928,4202832
NCT04341766,4300757
NCT04338009,4163872
NCT04434261,4166767
NCT04371289,407374
NCT04467840,4163872
NCT04467840,4300757
NCT04467840,36308581
NCT04467840,4165535
NCT04467840,4027509
NCT04472572,45768197
NCT04456452,36308581
NCT04420273,4311405
NCT04444557,412012
NCT04314271,36310597
NCT04387656,4273629
NCT04387656,4220084
NCT04387656,4240337
NCT04356560,4030107
NCT04420312,4300757
NCT04420312,407374
NCT04369274,19025274
NCT04450004,4117038
NCT04450004,4127886
NCT04450004,429799
NCT04450004,4271686
NCT04450004,4027509
NCT04450004,4027509
NCT04459702,3002644
NCT04459702,4062354
NCT04459702,4207158
NCT04399252,412012
NCT04399252,36310218
NCT04411147,4163872
NCT04375748,4013636
NCT04375748,4300757
NCT04451889,4300757
NCT04367805,407374
NCT04367896,4300185
NCT04367870,4273629
NCT04367870,4029715
NCT04354714,3720434
NCT04354714,4211641
NCT04354714,407374
NCT04354714,4163872
NCT04354714,19025274
NCT04354714,4059029
NCT04354714,4327582
NCT04354714,19006871
NCT04354714,42537546
NCT04354714,4117038
NCT04354714,4027509
NCT04383457,429709
NCT04445337,45879249
NCT04445337,407374
NCT04354818,4314777
NCT04354818,4208341
NCT04334252,4080071
NCT04334252,429709
NCT04338568,407374
NCT04338568,4163872
NCT04341610,4202832
NCT04341610,4106628
NCT04341610,4300757
NCT04470297,4180938
NCT04470297,4163872
NCT04470297,4300757
NCT04385017,42537546
NCT04355507,4061009
NCT04397900,4222885
NCT04452565,4163951
NCT04452565,4027509
NCT04444700,44782967
NCT04394455,4193507
NCT04435119,4058335
NCT04400799,42538189
NCT04313946,36308992
NCT04466098,19025274
NCT04369820,19025274
NCT04355351,4314777
NCT04455815,4027509
NCT04446377,4271686
NCT04446377,4127886
NCT04446377,4117038
NCT04446377,429799
NCT04446377,4330583
NCT04446377,4304921
NCT04375137,407374
NCT04359693,4202832
NCT04359693,19025274
NCT04470427,4144375
NCT04470427,4215685
NCT04470427,4117038
NCT04470427,429799
NCT04470427,4127886
NCT04470427,4027509
NCT04456049,36310218
NCT04386369,19025274
NCT04386369,45768197
NCT04399109,4222885
NCT04397614,35622675
NCT04430062,4174669
NCT04430062,4301351
NCT04430062,42539077
NCT04393636,4042673
NCT04393636,4255407
NCT04403009,4058335
NCT04468958,4240345
NCT04468958,4027509
NCT04361396,764864
NCT04338945,4215132
NCT04338945,2003003
NCT04338945,4214575
NCT04338945,706581
NCT04338945,4228759
NCT04338945,4255405
NCT04338945,706397
NCT04338945,45876504
NCT04338945,4235388
NCT04463004,4027509
NCT04463004,4127886
NCT04463004,4023403
NCT04463004,4117038
NCT04463004,4300757
NCT04463004,36308581
NCT04455360,19025274
NCT04396197,19025274
NCT04320862,4218364
NCT04371354,4313889
NCT04306705,4180938
NCT04306705,4163872
NCT04306705,4300757
NCT04306705,4240345
NCT04306705,19025274
NCT04306705,36308581
NCT04394429,19025274
NCT04465695,45768197
NCT04468087,36308581
NCT04358627,19025274
NCT04358627,4139525
NCT04358627,19025274
NCT04358627,407374
NCT04358627,4106628
NCT04447638,4168133
NCT04376879,423913
NCT04292964,407374
NCT04347369,407374
NCT04334434,4222885
NCT04459325,19025274
NCT04340219,4273629
NCT04340219,40776232
NCT04369807,4013636
NCT04436276,4144375
NCT04436276,4240345
NCT04349618,19025274
NCT04451291,4044525
NCT04451291,4106455
NCT04451291,19025274
NCT04365595,36308581
NCT04366167,35608102
NCT04366167,4166767
NCT04366167,429498
NCT04459533,19025274
NCT04382235,44791135
NCT04382235,19025274
NCT04382235,4165535
NCT04434157,19025274
NCT04434157,4165535
NCT04434157,19025274
NCT04434157,4202832
NCT04373486,3027941
NCT04373486,4299523
NCT04293692,407374
NCT04359407,19025274
NCT04412460,19025274
NCT04424355,4300757
NCT04449276,4144375
NCT04464395,36308581
NCT04472494,36308581
NCT04472494,4056837
NCT04472494,4027509
NCT04367714,706637
NCT04422626,19025274
NCT04453384,42537546
NCT04453384,4305996
NCT04453384,4163872
NCT04453384,4300757
NCT04453384,4271686
NCT04369456,4300185
NCT04362865,4019953
NCT04298814,3027941
NCT04298814,4013354
NCT04361344,19025274
NCT04338932,4202832
NCT04338932,19025274
NCT04409925,36308581
NCT04409925,19025274
NCT04454398,4180938
NCT04408170,4163872
NCT04382534,4222885
NCT04384965,403084
NCT04384965,40484007
NCT04384965,403084
NCT04377685,4300757
NCT04387409,45889547
NCT04285190,4310328
NCT04344964,4313889
NCT04344977,2149843
NCT04359225,45876453
NCT04393155,36308581
NCT04361903,4180938
NCT04361903,3623739
NCT04366141,4166767
NCT04366141,4202832
NCT04320953,36310218
NCT04320953,4013636
NCT04350073,19025274
NCT04457349,19025274
NCT04389463,4252365
NCT04389463,706382
NCT04407546,4273629
NCT04407546,4208341
NCT04372576,19025274
NCT04368390,4170271
NCT04368390,36308824
NCT04469179,4330329
NCT04469179,35622675
NCT04469179,4027509
NCT04394026,4163872
NCT04373109,4260263
NCT04373109,407374
NCT04430608,4222885
NCT04405544,407374
NCT04407663,706386
NCT04422691,4222885
NCT04366024,407374
NCT04454372,4052536
NCT04392089,35622675
NCT04454333,4300757
NCT04400877,4299523
NCT04400877,36310597
NCT04419623,36308581
NCT04347980,407374
NCT04347980,4058335
NCT04347980,4202832
NCT04369599,4202832
NCT04429334,19025274
NCT04429334,4168133
NCT04361461,19025274
NCT04382586,36308581
NCT04382586,19025274
NCT04359654,4059029
NCT04344379,8568
NCT04344379,42537546
NCT04344379,4027509
NCT04329572,19025274
NCT04329572,19025274
NCT04374461,19025274
NCT04371952,4255407
NCT04371952,4021976
NCT04323527,19006871
NCT04391179,36308581
NCT04347681,4182536
NCT04331665,36308581
NCT04310865,4211641
NCT04310228,4027509
NCT04310228,4302259
NCT04321421,19025274
NCT04321421,4165535
NCT04420390,4180938
NCT04420390,4163872
NCT04420390,3027941
NCT04362813,4163872
NCT04362813,4300757
NCT04343183,407374
NCT04432766,4180938
NCT04432766,4163872
NCT04432766,4300757
NCT04432766,36308581
NCT04432766,19025274
NCT04360837,4202832
NCT04406064,4180938
NCT04406064,4300757
NCT04406064,4165535
NCT04406064,19025274
NCT04406064,35622675
NCT04441424,4182536
NCT04427566,407374
NCT04427566,19025274
NCT04403100,4302259
NCT04403100,4300185
NCT04403100,706637
NCT04372017,4208341
NCT04372017,4273629
NCT04312009,4027509
NCT04312009,4181604
NCT04312009,36309413
NCT04372602,3720434
NCT04372602,4211641
NCT04372602,19025274
NCT04372602,4059029
NCT04372602,4327582
NCT04372602,19006871
NCT04372602,42537546
NCT04372602,4117038
NCT04372602,4027509
NCT04421027,4211641
NCT04312997,4215685
NCT04312997,3002644
NCT04312997,4027509
NCT04343261,4310328
NCT04363346,4180938
NCT04363346,4163872
