covidtrialID,conditionOMOPID
NCT04337996,4160039
NCT04337996,314971
NCT04337996,316139
NCT04337996,45881078
NCT04337996,192359
NCT04337996,45879799
NCT04337996,433736
NCT04337996,45878255
NCT04466241,703439
NCT04466241,4261867
NCT04466241,437663
NCT04466241,254761
NCT04466241,100357
NCT04466241,37311061
NCT04466241,42964
NCT04344210,201254
NCT04344210,201826
NCT04375709,37311061
NCT04375709,756039
NCT04370197,381316
NCT04416347,319049
NCT04416347,4319884
NCT04416347,36309507
NCT04370821,37311061
NCT04322487,37311061
NCT04418245,703439
NCT04418245,37311061
NCT04418245,257907
NCT04388605,4299535
NCT04388605,4114526
NCT04344171,37311061
NCT04410458,13983
NCT04370808,37311061
NCT04370808,1177324
NCT04380779,37311061
NCT04350086,703439
NCT04445194,4170148
NCT04445194,42964
NCT04427137,377091
NCT04427137,437663
NCT04427137,4275212
NCT04427137,45766063
NCT04427137,4332246
NCT04427137,38001664
NCT04427137,372448
NCT04427137,4128935
NCT04427137,1035052
NCT04385914,4299535
NCT04385914,37311061
NCT04385914,4299535
NCT04406493,37311061
NCT04382794,45877606
NCT04382794,42059663
NCT04382794,37311061
NCT04382794,45878035
NCT04382794,255848
NCT04348864,37311061
NCT04348864,37311061
NCT04374071,37311061
NCT04374071,4124671
NCT04374071,2614925
NCT04391166,437541
NCT04391166,4028363
NCT04353141,4299535
NCT04353141,37311061
NCT04353141,756039
NCT04353141,4142947
NCT04353141,4309345
NCT04353141,37311061
NCT04353141,4201908
NCT04353141,21497921
NCT04353141,437663
NCT04353141,320136
NCT04353141,254761
NCT04353141,312437
NCT04353141,4576873
NCT04284046,37311059
NCT04245631,437663
NCT04245631,100357
NCT04245631,255848
NCT04245631,4164116
NCT04245631,4142882
NCT04245631,44783749
NCT04447534,37311061
NCT04380987,703439
NCT04397237,257628
NCT04397237,80809
NCT04397237,36716891
NCT04397237,4290976
NCT04368234,37310259
NCT04368234,37311059
NCT04368234,37311059
NCT04368234,37311061
NCT04448145,703439
NCT04448145,37311061
NCT04448145,437663
NCT04448145,254761
NCT04448145,312437
NCT04456361,4195694
NCT04456361,703439
NCT04456361,4142985
NCT04456361,45882909
NCT04397666,703439
NCT04397666,100357
NCT04352517,37311061
NCT04387643,37311061
NCT04387643,4106303
NCT04392219,443392
NCT04392219,45883493
NCT04392219,4214702
NCT04392219,402878
NCT04392219,4298168
NCT04392219,4047705
NCT04392219,43529712
NCT04372472,41962773
NCT04372472,4170143
NCT04372472,100357
NCT04372472,1511349
NCT04357366,4299535
NCT04357366,43225
NCT04357366,703439
NCT04357366,4175297
NCT04408391,37311061
NCT04408391,756039
NCT04408391,437663
NCT04408391,254761
NCT04408391,312437
NCT04408391,196523
NCT04408391,200219
NCT04408391,7767
NCT04408391,4226263
NCT04408391,4185711
NCT04432961,37311061
NCT04412304,703439
NCT04412304,374032
NCT04412304,37311061
NCT04397822,37311061
NCT04393233,80809
NCT04360707,703439
NCT04365959,37310285
NCT04459689,37311061
NCT04397575,4078193
NCT04397575,703439
NCT04397575,443392
NCT04397575,410068
NCT04397575,4343
NCT04397575,4115276
NCT04397575,4110591
NCT04397575,4033891
NCT04397575,4218592
NCT04397575,4298444
NCT04397575,35936174
NCT04397575,3593386
NCT04397575,4115117
NCT04397575,703439
NCT04397575,37311061
NCT04397575,437663
NCT04397575,4223659
NCT04397575,378253
NCT04397575,254761
NCT04397575,312437
NCT04397575,4185711
NCT04339608,42064759
NCT04342104,319049
NCT04342104,37311061
NCT04342104,4321705
NCT04453969,37311061
NCT04453969,4299535
NCT04453969,4188824
NCT04453969,4185135
NCT04410549,4209097
NCT04410549,37311061
NCT04410549,37208938
NCT04410549,37208938
NCT04410549,4239826
NCT04352348,45878035
NCT04463602,40218805
NCT04463602,4106628
NCT04463602,40757139
NCT04373759,703439
NCT04373759,321042
NCT04373759,321042
NCT04445506,1177254
NCT04445506,1177324
NCT04445506,37108786
NCT04445506,440417
NCT04445506,4323898
NCT04445506,4306572
NCT04442165,43529712
NCT04442165,43225
NCT04410939,4309345
NCT04410939,4299535
NCT04410939,4216316
NCT04410939,765678
NCT04410939,46237751
NCT04420468,312653
NCT04420468,437663
NCT04420468,201965
NCT04420468,756039
NCT04337047,317009
NCT04337047,440383
NCT04368975,100357
